序号,标题,发文日期,效力状态,内容,主题
1,河北省人民政府办公厅关于印发河北省自然灾害救助应急预案的通知, 2024-08-01,有效,"





























































































































































































































































































































































































",其他
2,河北省人民政府办公厅关于同意京新至京藏高速公路联络线收费的复函, 2024-07-08,有效,"







",工业、交通
3,河北省人民政府办公厅关于同意首都地区环线高速公路（G95）承德（李家营）至平谷（冀京界）段设置收费站的复函, 2024-07-08,有效,"

",工业、交通
4,河北省人民政府办公厅关于同意秦皇岛至唐山高速公路唐山段设置收费站的复函, 2024-07-08,有效,"







",工业、交通
5,河北省人民政府办公厅关于开展供销合作社系统“补网强网用网”行动的通知, 2024-07-05,有效,各市（含定州、辛集市）人民政府，雄安新区管委会，省政府有关部门：为深入学习贯彻习近平总书记对供销合作社工作重要指示批示精神，加快把供销合作社建成服务农民生产生活的综合平台，经省政府同意，决定在全省开展供销合作社系统“补网强网用网”行动，现将有关事项通知如下：一、推进补网，健全供销合作社网络体系（一）强化省企带动，贯通系统经营网络。省供销合作社要围绕适应农业农村发展和农民生产生活需求，加强顶层设计，按照经济、合理、高效和“缺什么补什么”原则，因地制宜，统筹谋划，进一步加强省市县乡村五级供销合作社业务联系，着力补齐经营网络，做到“一网多用、一点多能”。指导所属企业建设经营网络，以市场化手段加强与市县供销合作社的业务往来，整合资源、搭建平台，通过产权联结、股权置换、集采集配、项目合作等方式，带动市县供销合作社系统业务开展，实现全系统一体化经营。2025年省级龙头企业带动系统销售额要达到总销售额的30%以上，2028年达到60%以上。（二）科学合理布局，疏通区域物流网络。立足区域人口规模、交通条件、消费能力和仓储需求，把供销合作社仓储物流体系纳入商业体系，市、县政府推动市县供销合作社建设区域仓储物流中心（以下简称区域中心），在选址、立项等方面给予政策支持。支持市县供销合作社参与农村客货邮融合发展，促进区域中心与本地快递、物流企业资源共享、共建共用、优势互补，完善仓储、分拣、运输、配送等集约共享机制，提升物流集约化水平。分类开展区域中心建设，网络基础好的县推广“正定瑞天”模式，重点升级区域中心，增加集配产品种类；网络基础较弱的县推广“涿鹿新合作”“深州鲜天下”模式，多种方式对接系统龙头企业，引进社会力量，推动区域中心建设，带动基层网点发展，向乡镇和村延伸仓储物流服务。2025年要建设区域中心15家，2028年达到50家，网络体系有效覆盖全省。（三）夯实基层基础，织密为农服务网络。支持县级社改造提升乡镇基层供销合作社，通过升级改造经营设施、盘活存量资产，开展农业社会化服务、农资供应、农产品流通、日用品销售、再生资源回收和农村产权交易，稳步扩大业务规模，争创全国供销合作社系统示范基层社。在基层供销合作社空白乡镇，要发挥县级供销合作社承上启下的关键作用，围绕主导产业，引导社有企业和农村集体经济组织、农民专业合作社、家庭农场等规模经营主体共同出资建设乡镇基层社，达到有场地、有人员、有业务、有资金的“四有”标准，推动基层网络恢复重建。支持乡镇基层供销合作社通过自建或与村集体联建的方式，布局村级经营服务网点，健全供销合作社村级网络，打通为农服务“最后一公里”。2025年创建全国供销合作社系统示范基层社50家，建设“四有”基层社300个；2028年创建全国供销合作社系统示范基层社100家以上，“四有”基层社实现乡镇全覆盖。二、推进强网，提升供销合作社网络服务功能（一）加强联合合作。支持市县供销合作社跨区域开展项目合作，促进市与市、县与县之间的业务交流，连接“小网”形成“大网”，凝聚系统合力，实现规模效应。加强与大型涉农企业合作，重点在农业社会化服务、仓储物流设施建设、订单农业、健康养老等领域实现优势互补、共赢发展。强化与科研院校的合作，为供销合作社网络建设提供人才、智力支持，通过共建实训基地、科研平台，解决关键技术难题，促进农业科技成果转化。做好与金融机构在农业产业金融服务领域的合作，为农业生产经营者提供优惠利率的融资服务产品。（二）加强数字赋能。搭建供销合作社系统网络经营管理平台，开展数字化提升，利用互联网、物联网、大数据、云计算等，加强对供销合作社网络数据的挖掘、收集和分析，提升系统运营信息化、智能化水平，提高网络运营效率。进一步扩大供销社网络开放窗口，积极对接全国供销系统日用品采购、农资销售与服务、农产品销售三大平台，以及其他省份供销社网络平台、各大电商平台，全方位实现信息互联互通、商品集采集配、资源共用共享。加快发展供销合作社农村电商，创新商业模式，拓宽销售渠道，逐步强化网络直播、短视频等新型营销方式应用，推进线下网络实体与线上平台融合发展。2025年实现农产品电商销售额150亿元，2028年实现300亿元。（三）加强品牌建设。省供销合作社要进一步强化品牌意识，指导各级供销合作社在办公、经营、服务场所显著位置，统一规范使用供销合作社标识；在供销合作社供应的产品上，规范使用标识及形象设计，提高辨识度，增加知名度，擦亮供销合作社金字招牌。提升供销合作社产品竞争力，创新研发一批富有河北供销特色、高性价比的“爆款”产品，合作推出一批统一标识、独有款式的流行快消品，联合集采一批质优价廉、大众认可的惠民直供品，推动功能性消费品下乡，消除农村劣质商品的生存空间，扩大提升“骥供九州”“邯郸有礼”“邢供天下”等供销合作社自有品牌的销售规模和知名度。支持供销合作社参与农产品区域公用品牌管理运营，开展品牌推广、渠道构建、产品营销等服务，在促进区域特色产业提质增效和农民增收致富方面发挥作用。2025年供销社自有品牌达到50个，2028年达到100个以上。三、推进用网，发挥供销合作社网络独特优势（一）在加快现代农业发展中发挥作用。支持供销合作社培育农业社会化服务主体，发挥农机服务联盟作用，通过开展耕、种、防、收等全环节服务，破解“谁来种地、地怎么种”问题，提升农业社会化服务水平。支持参与高标准农田建设，发展高效节水农业，打造绿色、稳产、智慧的现代农业示范园区。推动农资经营向综合服务转型，利用乡镇为农服务中心和庄稼医院提供农资供应、统防统治、测土配方、农机作业等系列化服务，有效减少农药、化肥施用量，保障农产品质量安全。加强与农业农村部门协作，共同开展育种、繁种、品种试验推广，加快种质资源库和商业化育种制种基地建设，发展壮大省种业集团，让农民用上放心种子。2025年全省供销合作社系统农业社会化服务规模达到6000万亩次以上，农资市场占有率达到50%以上；2028年分别达到8000万亩次和60%以上。（二）在服务农村现代流通中发挥作用。支持供销合作社全面参与县域商业体系建设，与邮政、电商、快递、商贸流通等主体开展市场化合作，利用供销合作社实体网点和经营服务网络，完善县域商业设施，健全农村流通网络。整合供销合作社系统农产品批发市场、冷链仓储运输、基层社“最初一公里”等经营服务网点，纳入地方政府冷链物流发展规划，夯实全省农产品冷链物流骨干网。充分发挥经营服务优势，支持供销合作社及其企业参与公益性农产品批发市场运营管护，保障市场健康发展。按照国家、省应急储备政策和保供稳价要求，支持供销合作社开展政策性的粮、油、肉等生活物资储备工作及农药、化肥、食盐等政府应急储备任务，及时拨付供销社系统储备资金。（三）在服务农民增收致富中发挥作用。支持领办创办农民专业合作社，发展适度规模生产经营，完善利益联结机制，增加农民在生产、加工、销售等环节收益。开展农产品产销对接，举办展会、产销对接会等活动，促进农产品顺畅销售。支持供销合作社系统在当地商场超市、经营门店等经营场所开设农产品销售专区、专柜，逐步扩大农产品销售规模。健全农村产权交易平台，增加农村产权交易市场功能，推进土地承包经营权、农村集体资产、农村宅基地使用权、水权、林权等13类农村产权应进必进、有序流转，探索以产权交易鉴证为抵押的融资贷款模式，增加农民财产性收入和农村集体收入。各级各有关部门要深刻认识开展供销合作社系统“三网”行动的重要性，整合涉农资源，加大支持力度，务求取得实效。各市县政府要定期听取供销合作社工作汇报，研究解决问题。全省供销合作社系统要建立健全工作协调机制，合理调配资源，加强调度指导，确保各项任务目标如期完成。发展改革部门要支持“三网”行动相关项目立项和应急物资储备工作，做好与全省物流规划布局的衔接。农业农村部门要将“三网”行动列入乡村振兴重点工作内容。商务部门要将“三网”行动纳入县域商业体系建设规划，在支持资金方面予以优先考虑。财政部门要统筹利用现有资金渠道支持“三网”行动开展。邮政管理部门要鼓励邮政快递企业深化与供销社合作，支持利用供销服务点设置村级寄递物流综合服务站。各地各相关部门要认真履行责任，密切协作配合，形成工作合力，营造开展“三网”行动良好氛围。河北省人民政府办公厅2024年7月4日各市（含定州、辛集市）人民政府，雄安新区管委会，省政府有关部门：为深入学习贯彻习近平总书记对供销合作社工作重要指示批示精神，加快把供销合作社建成服务农民生产生活的综合平台，经省政府同意，决定在全省开展供销合作社系统“补网强网用网”行动，现将有关事项通知如下：一、推进补网，健全供销合作社网络体系（一）强化省企带动，贯通系统经营网络。省供销合作社要围绕适应农业农村发展和农民生产生活需求，加强顶层设计，按照经济、合理、高效和“缺什么补什么”原则，因地制宜，统筹谋划，进一步加强省市县乡村五级供销合作社业务联系，着力补齐经营网络，做到“一网多用、一点多能”。指导所属企业建设经营网络，以市场化手段加强与市县供销合作社的业务往来，整合资源、搭建平台，通过产权联结、股权置换、集采集配、项目合作等方式，带动市县供销合作社系统业务开展，实现全系统一体化经营。2025年省级龙头企业带动系统销售额要达到总销售额的30%以上，2028年达到60%以上。（二）科学合理布局，疏通区域物流网络。立足区域人口规模、交通条件、消费能力和仓储需求，把供销合作社仓储物流体系纳入商业体系，市、县政府推动市县供销合作社建设区域仓储物流中心（以下简称区域中心），在选址、立项等方面给予政策支持。支持市县供销合作社参与农村客货邮融合发展，促进区域中心与本地快递、物流企业资源共享、共建共用、优势互补，完善仓储、分拣、运输、配送等集约共享机制，提升物流集约化水平。分类开展区域中心建设，网络基础好的县推广“正定瑞天”模式，重点升级区域中心，增加集配产品种类；网络基础较弱的县推广“涿鹿新合作”“深州鲜天下”模式，多种方式对接系统龙头企业，引进社会力量，推动区域中心建设，带动基层网点发展，向乡镇和村延伸仓储物流服务。2025年要建设区域中心15家，2028年达到50家，网络体系有效覆盖全省。（三）夯实基层基础，织密为农服务网络。支持县级社改造提升乡镇基层供销合作社，通过升级改造经营设施、盘活存量资产，开展农业社会化服务、农资供应、农产品流通、日用品销售、再生资源回收和农村产权交易，稳步扩大业务规模，争创全国供销合作社系统示范基层社。在基层供销合作社空白乡镇，要发挥县级供销合作社承上启下的关键作用，围绕主导产业，引导社有企业和农村集体经济组织、农民专业合作社、家庭农场等规模经营主体共同出资建设乡镇基层社，达到有场地、有人员、有业务、有资金的“四有”标准，推动基层网络恢复重建。支持乡镇基层供销合作社通过自建或与村集体联建的方式，布局村级经营服务网点，健全供销合作社村级网络，打通为农服务“最后一公里”。2025年创建全国供销合作社系统示范基层社50家，建设“四有”基层社300个；2028年创建全国供销合作社系统示范基层社100家以上，“四有”基层社实现乡镇全覆盖。二、推进强网，提升供销合作社网络服务功能（一）加强联合合作。支持市县供销合作社跨区域开展项目合作，促进市与市、县与县之间的业务交流，连接“小网”形成“大网”，凝聚系统合力，实现规模效应。加强与大型涉农企业合作，重点在农业社会化服务、仓储物流设施建设、订单农业、健康养老等领域实现优势互补、共赢发展。强化与科研院校的合作，为供销合作社网络建设提供人才、智力支持，通过共建实训基地、科研平台，解决关键技术难题，促进农业科技成果转化。做好与金融机构在农业产业金融服务领域的合作，为农业生产经营者提供优惠利率的融资服务产品。（二）加强数字赋能。搭建供销合作社系统网络经营管理平台，开展数字化提升，利用互联网、物联网、大数据、云计算等，加强对供销合作社网络数据的挖掘、收集和分析，提升系统运营信息化、智能化水平，提高网络运营效率。进一步扩大供销社网络开放窗口，积极对接全国供销系统日用品采购、农资销售与服务、农产品销售三大平台，以及其他省份供销社网络平台、各大电商平台，全方位实现信息互联互通、商品集采集配、资源共用共享。加快发展供销合作社农村电商，创新商业模式，拓宽销售渠道，逐步强化网络直播、短视频等新型营销方式应用，推进线下网络实体与线上平台融合发展。2025年实现农产品电商销售额150亿元，2028年实现300亿元。（三）加强品牌建设。省供销合作社要进一步强化品牌意识，指导各级供销合作社在办公、经营、服务场所显著位置，统一规范使用供销合作社标识；在供销合作社供应的产品上，规范使用标识及形象设计，提高辨识度，增加知名度，擦亮供销合作社金字招牌。提升供销合作社产品竞争力，创新研发一批富有河北供销特色、高性价比的“爆款”产品，合作推出一批统一标识、独有款式的流行快消品，联合集采一批质优价廉、大众认可的惠民直供品，推动功能性消费品下乡，消除农村劣质商品的生存空间，扩大提升“骥供九州”“邯郸有礼”“邢供天下”等供销合作社自有品牌的销售规模和知名度。支持供销合作社参与农产品区域公用品牌管理运营，开展品牌推广、渠道构建、产品营销等服务，在促进区域特色产业提质增效和农民增收致富方面发挥作用。2025年供销社自有品牌达到50个，2028年达到100个以上。三、推进用网，发挥供销合作社网络独特优势（一）在加快现代农业发展中发挥作用。支持供销合作社培育农业社会化服务主体，发挥农机服务联盟作用，通过开展耕、种、防、收等全环节服务，破解“谁来种地、地怎么种”问题，提升农业社会化服务水平。支持参与高标准农田建设，发展高效节水农业，打造绿色、稳产、智慧的现代农业示范园区。推动农资经营向综合服务转型，利用乡镇为农服务中心和庄稼医院提供农资供应、统防统治、测土配方、农机作业等系列化服务，有效减少农药、化肥施用量，保障农产品质量安全。加强与农业农村部门协作，共同开展育种、繁种、品种试验推广，加快种质资源库和商业化育种制种基地建设，发展壮大省种业集团，让农民用上放心种子。2025年全省供销合作社系统农业社会化服务规模达到6000万亩次以上，农资市场占有率达到50%以上；2028年分别达到8000万亩次和60%以上。（二）在服务农村现代流通中发挥作用。支持供销合作社全面参与县域商业体系建设，与邮政、电商、快递、商贸流通等主体开展市场化合作，利用供销合作社实体网点和经营服务网络，完善县域商业设施，健全农村流通网络。整合供销合作社系统农产品批发市场、冷链仓储运输、基层社“最初一公里”等经营服务网点，纳入地方政府冷链物流发展规划，夯实全省农产品冷链物流骨干网。充分发挥经营服务优势，支持供销合作社及其企业参与公益性农产品批发市场运营管护，保障市场健康发展。按照国家、省应急储备政策和保供稳价要求，支持供销合作社开展政策性的粮、油、肉等生活物资储备工作及农药、化肥、食盐等政府应急储备任务，及时拨付供销社系统储备资金。（三）在服务农民增收致富中发挥作用。支持领办创办农民专业合作社，发展适度规模生产经营，完善利益联结机制，增加农民在生产、加工、销售等环节收益。开展农产品产销对接，举办展会、产销对接会等活动，促进农产品顺畅销售。支持供销合作社系统在当地商场超市、经营门店等经营场所开设农产品销售专区、专柜，逐步扩大农产品销售规模。健全农村产权交易平台，增加农村产权交易市场功能，推进土地承包经营权、农村集体资产、农村宅基地使用权、水权、林权等13类农村产权应进必进、有序流转，探索以产权交易鉴证为抵押的融资贷款模式，增加农民财产性收入和农村集体收入。各级各有关部门要深刻认识开展供销合作社系统“三网”行动的重要性，整合涉农资源，加大支持力度，务求取得实效。各市县政府要定期听取供销合作社工作汇报，研究解决问题。全省供销合作社系统要建立健全工作协调机制，合理调配资源，加强调度指导，确保各项任务目标如期完成。发展改革部门要支持“三网”行动相关项目立项和应急物资储备工作，做好与全省物流规划布局的衔接。农业农村部门要将“三网”行动列入乡村振兴重点工作内容。商务部门要将“三网”行动纳入县域商业体系建设规划，在支持资金方面予以优先考虑。财政部门要统筹利用现有资金渠道支持“三网”行动开展。邮政管理部门要鼓励邮政快递企业深化与供销社合作，支持利用供销服务点设置村级寄递物流综合服务站。各地各相关部门要认真履行责任，密切协作配合，形成工作合力，营造开展“三网”行动良好氛围。河北省人民政府办公厅2024年7月4日,其他
6,河北省人民政府办公厅关于同意秦皇岛至唐山高速公路秦皇岛段设置收费站的复函, 2024-06-17,有效,省交通运输厅、省发展改革委、省财政厅：《关于秦皇岛至唐山高速公路秦皇岛段设站收费及核准收费期限的请示》（冀交公〔2024〕84号）收悉。省政府同意秦皇岛至唐山高速公路秦皇岛段建成后，设置九龙山、朱各庄匝道收费站2处，收取机动车辆通行费。自开始收费之日起，收费期限15年。河北省人民政府办公厅2024年6月15日省交通运输厅、省发展改革委、省财政厅：《关于秦皇岛至唐山高速公路秦皇岛段设站收费及核准收费期限的请示》（冀交公〔2024〕84号）收悉。省政府同意秦皇岛至唐山高速公路秦皇岛段建成后，设置九龙山、朱各庄匝道收费站2处，收取机动车辆通行费。自开始收费之日起，收费期限15年。河北省人民政府办公厅2024年6月15日,工业、交通
7,河北省人民政府办公厅关于同意G2002石家庄绕城高速石家庄西端口收费站至石太枢纽段及G20青银高速石太枢纽至冀晋界段改扩建工程设置收费站的复函, 2024-06-17,有效,省交通运输厅、省发展改革委：《关于G2002石家庄绕城高速石家庄西端口收费站至石太枢纽段及G20青银高速石太枢纽至冀晋界段改扩建工程设站收费及核准收费期限的请示》（冀交公〔2024〕85号）收悉。省政府同意G2002石家庄绕城高速石家庄西端口收费站至石太枢纽段及G20青银高速石太枢纽至冀晋界段改扩建工程建成后，设置鹿泉、井陉、秀林、井陉西匝道收费站4处，收取机动车辆通行费。自开始收费之日起，收费期限25年。河北省人民政府办公厅2024年6月15日省交通运输厅、省发展改革委：《关于G2002石家庄绕城高速石家庄西端口收费站至石太枢纽段及G20青银高速石太枢纽至冀晋界段改扩建工程设站收费及核准收费期限的请示》（冀交公〔2024〕85号）收悉。省政府同意G2002石家庄绕城高速石家庄西端口收费站至石太枢纽段及G20青银高速石太枢纽至冀晋界段改扩建工程建成后，设置鹿泉、井陉、秀林、井陉西匝道收费站4处，收取机动车辆通行费。自开始收费之日起，收费期限25年。河北省人民政府办公厅2024年6月15日,工业、交通
8,河北省人民政府办公厅关于同意调整河北辽河源省级自然保护区范围及功能区的复函, 2024-05-31,有效,承德市人民政府：你市《关于调整河北辽河源省级自然保护区范围与功能区的请示》（承市政〔2023〕39号）收悉。经省政府同意，现函复如下：一、同意调整河北辽河源省级自然保护区范围及功能区。调整后保护区地理坐标位置为东经118°21′49.86″-118°34′10.21″、北纬40°59′17.66″-41°21′24.95″。总面积23149.74公顷，其中核心区面积10853.37公顷，缓冲区面积1582.03公顷，实验区面积10714.34公顷。二、你市要严格执行《中华人民共和国自然保护区条例》和《国务院办公厅关于做好自然保护区管理有关工作的通知》（国办发〔2010〕63号）等有关规定，按照批准的调整方案组织勘界，落实自然保护区土地权属，做好立标、公告等相关工作。要切实加强对自然保护区工作的领导、协调和监督，强化管理机构建设，妥善处理好自然保护区管理与当地经济社会发展及居民生产生活的关系，实现自然保护区严格保护、科学管理、合理利用和持续发展。河北省人民政府办公厅2024年5月31日承德市人民政府：你市《关于调整河北辽河源省级自然保护区范围与功能区的请示》（承市政〔2023〕39号）收悉。经省政府同意，现函复如下：一、同意调整河北辽河源省级自然保护区范围及功能区。调整后保护区地理坐标位置为东经118°21′49.86″-118°34′10.21″、北纬40°59′17.66″-41°21′24.95″。总面积23149.74公顷，其中核心区面积10853.37公顷，缓冲区面积1582.03公顷，实验区面积10714.34公顷。二、你市要严格执行《中华人民共和国自然保护区条例》和《国务院办公厅关于做好自然保护区管理有关工作的通知》（国办发〔2010〕63号）等有关规定，按照批准的调整方案组织勘界，落实自然保护区土地权属，做好立标、公告等相关工作。要切实加强对自然保护区工作的领导、协调和监督，强化管理机构建设，妥善处理好自然保护区管理与当地经济社会发展及居民生产生活的关系，实现自然保护区严格保护、科学管理、合理利用和持续发展。河北省人民政府办公厅2024年5月31日,其他
9,河北省人民政府办公厅关于同意大广高速公路（京承高速公路京冀界至承德段）增设滦平金山岭长城收费站的复函, 2024-05-21,有效,省交通运输厅、省发展改革委、省财政厅：《关于大广（京承）高速公路增设滦平金山岭长城收费站的请示》（冀交公〔2024〕65号）收悉。省政府同意大广高速公路（京承高速公路京冀界至承德段）增设滦平金山岭长城匝道收费站1处，收取机动车辆通行费，收费标准、收费期限与大广高速公路（京承高速公路京冀界至承德段）一致。河北省人民政府办公厅2024年5月21日省交通运输厅、省发展改革委、省财政厅：《关于大广（京承）高速公路增设滦平金山岭长城收费站的请示》（冀交公〔2024〕65号）收悉。省政府同意大广高速公路（京承高速公路京冀界至承德段）增设滦平金山岭长城匝道收费站1处，收取机动车辆通行费，收费标准、收费期限与大广高速公路（京承高速公路京冀界至承德段）一致。河北省人民政府办公厅2024年5月21日,工业、交通
10,河北省人民政府办公厅关于印发2024年立法工作计划的通知, 2024-05-07,有效,各市（含定州、辛集市）人民政府，各县（市、区）人民政府，雄安新区管委会，省政府各部门：《河北省人民政府2024年立法工作计划》已经省委、省政府同意，现印发给你们，请认真贯彻执行。河北省人民政府办公厅2024年4月4日2024年省政府立法工作，坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻党的二十大精神和习近平法治思想，认真贯彻落实习近平总书记视察河北重要讲话精神，全面落实省委十届历次全会部署，完整、准确、全面贯彻新发展理念，加快构建新发展格局，围绕中心、服务大局，着力抓好京津冀协同发展、雄安新区建设、维护国家安全、推动高质量发展、全面深化改革、优化营商环境、保障改善民生、防范化解风险等方面立法，推进政府治理体系和治理能力现代化，为加快建设经济强省、美丽河北，奋力谱写中国式现代化建设河北篇章提供有力法治保障。根据成熟程度和轻重缓急，安排立法项目43件。一、地方性法规项目（27件）一类项目：省人大常委会确定需要年内提请审议的项目（9件）。1.京津冀居民服务“一卡通”相关立法（省人力资源社会保障厅起草）2.河北省民用机场管理条例（省交通运输厅起草）3.河北省测绘地理信息条例（省自然资源厅起草）4.河北省南水北调配套工程管理条例（省水利厅起草）5.河北省征兵工作条例（修订）（省征兵办起草）6.河北省消防条例（修订）（省消防救援总队起草）7.河北省动物防疫条例（修订）（省农业农村厅起草）8.河北省法律援助条例（修订）（省司法厅起草）9.河北省涉案资产价格鉴证管理条例（修订）（省发展改革委起草）二类项目：积极推进，待条件成熟时提请审议的项目（7件）。1.北京大兴国际机场临空经济区管理相关立法（北京大兴国际机场临空经济区联合管委会起草）2.河北雄安新区数据条例（雄安新区管委会起草）3.河北省12345政务服务便民热线条例（省数据和政务服务局起草）4.河北省耕地保护条例（省自然资源厅起草）5.河北省教育督导条例（省教育厅起草）6.河北省地方金融监督管理条例（修订）（省委金融办起草）7.河北省食品小作坊小餐饮小摊点管理条例（修订）（省市场监管局起草）三类项目：调研项目（11件）。1.河北省网络虚假信息治理若干规定（省委网信办起草）2.河北省噪声污染防治条例（省生态环境厅起草）3.促进京津冀文旅融合发展条例（省文化和旅游厅起草）4.河北省社会科学普及条例（省社科院起草）5.河北雄安新区智能网联汽车管理条例（雄安新区管委会起草）6.河北省网络餐饮外卖配送监督管理规定（省市场监管局起草）7.河北省反不正当竞争条例（修订）（省市场监管局起草）8.河北省邮政条例（修订）（省邮政管理局起草）9.河北省湿地保护条例（修订）（省林业和草原局起草）10.河北省种子管理条例（修订）（省农业农村厅起草）11.河北省陆生野生动物保护条例（修订）（省林业和草原局起草）二、政府规章项目（16件）一类项目：年内制定或修改的项目（6件）。1.河北省军事设施保护管理规定（省国防动员办公室起草）2.河北省气象信息服务办法（省气象局起草）3.河北省排污许可管理办法（省生态环境厅起草）4.河北省海上搜寻救助规定（修订）（河北海事局起草）5.河北省行政执法证件和行政执法监督检查证件管理办法（修订）（省司法厅起草）6.河北省科学技术奖励办法（修正）（省科技厅起草）二类项目：积极推进，适时提请审议的项目（3件）。1.政府规章后评估办法（省司法厅起草）2.河北省防雷减灾管理办法（修订）（省气象局起草）3.河北省供热用热办法（修订）（省住房城乡建设厅起草）三类项目：调研项目（7件）。1.河北省退役军人安置办法（省退役军人事务厅起草）2.河北省公共安全技术防范管理规定（修订）（省公安厅起草）3.河北省实验动物管理办法（修订）（省科技厅起草）4.河北省农村宅基地管理办法（修订）（省农业农村厅起草）5.河北省安全生产违法行为行政处罚规定（修订）（省应急管理厅起草）6.河北省实施《军人抚恤优待条例》办法（修订）（省退役军人事务厅起草）7.河北省治理货运车辆超限超载规定（修订）（省交通运输厅起草）省司法厅要会同省有关部门围绕落实党中央、国务院重大决策部署并与上位法的立改废相衔接，根据省委、省政府要求，对现行有效的省政府规章进行动态清理，按照改革需要和轻重缓急，提出修改或者废止意见。各市（含定州、辛集市）人民政府，各县（市、区）人民政府，雄安新区管委会，省政府各部门：《河北省人民政府2024年立法工作计划》已经省委、省政府同意，现印发给你们，请认真贯彻执行。河北省人民政府办公厅2024年4月4日2024年省政府立法工作，坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻党的二十大精神和习近平法治思想，认真贯彻落实习近平总书记视察河北重要讲话精神，全面落实省委十届历次全会部署，完整、准确、全面贯彻新发展理念，加快构建新发展格局，围绕中心、服务大局，着力抓好京津冀协同发展、雄安新区建设、维护国家安全、推动高质量发展、全面深化改革、优化营商环境、保障改善民生、防范化解风险等方面立法，推进政府治理体系和治理能力现代化，为加快建设经济强省、美丽河北，奋力谱写中国式现代化建设河北篇章提供有力法治保障。根据成熟程度和轻重缓急，安排立法项目43件。一、地方性法规项目（27件）一类项目：省人大常委会确定需要年内提请审议的项目（9件）。1.京津冀居民服务“一卡通”相关立法（省人力资源社会保障厅起草）2.河北省民用机场管理条例（省交通运输厅起草）3.河北省测绘地理信息条例（省自然资源厅起草）4.河北省南水北调配套工程管理条例（省水利厅起草）5.河北省征兵工作条例（修订）（省征兵办起草）6.河北省消防条例（修订）（省消防救援总队起草）7.河北省动物防疫条例（修订）（省农业农村厅起草）8.河北省法律援助条例（修订）（省司法厅起草）9.河北省涉案资产价格鉴证管理条例（修订）（省发展改革委起草）二类项目：积极推进，待条件成熟时提请审议的项目（7件）。1.北京大兴国际机场临空经济区管理相关立法（北京大兴国际机场临空经济区联合管委会起草）2.河北雄安新区数据条例（雄安新区管委会起草）3.河北省12345政务服务便民热线条例（省数据和政务服务局起草）4.河北省耕地保护条例（省自然资源厅起草）5.河北省教育督导条例（省教育厅起草）6.河北省地方金融监督管理条例（修订）（省委金融办起草）7.河北省食品小作坊小餐饮小摊点管理条例（修订）（省市场监管局起草）三类项目：调研项目（11件）。1.河北省网络虚假信息治理若干规定（省委网信办起草）2.河北省噪声污染防治条例（省生态环境厅起草）3.促进京津冀文旅融合发展条例（省文化和旅游厅起草）4.河北省社会科学普及条例（省社科院起草）5.河北雄安新区智能网联汽车管理条例（雄安新区管委会起草）6.河北省网络餐饮外卖配送监督管理规定（省市场监管局起草）7.河北省反不正当竞争条例（修订）（省市场监管局起草）8.河北省邮政条例（修订）（省邮政管理局起草）9.河北省湿地保护条例（修订）（省林业和草原局起草）10.河北省种子管理条例（修订）（省农业农村厅起草）11.河北省陆生野生动物保护条例（修订）（省林业和草原局起草）二、政府规章项目（16件）一类项目：年内制定或修改的项目（6件）。1.河北省军事设施保护管理规定（省国防动员办公室起草）2.河北省气象信息服务办法（省气象局起草）3.河北省排污许可管理办法（省生态环境厅起草）4.河北省海上搜寻救助规定（修订）（河北海事局起草）5.河北省行政执法证件和行政执法监督检查证件管理办法（修订）（省司法厅起草）6.河北省科学技术奖励办法（修正）（省科技厅起草）二类项目：积极推进，适时提请审议的项目（3件）。1.政府规章后评估办法（省司法厅起草）2.河北省防雷减灾管理办法（修订）（省气象局起草）3.河北省供热用热办法（修订）（省住房城乡建设厅起草）三类项目：调研项目（7件）。1.河北省退役军人安置办法（省退役军人事务厅起草）2.河北省公共安全技术防范管理规定（修订）（省公安厅起草）3.河北省实验动物管理办法（修订）（省科技厅起草）4.河北省农村宅基地管理办法（修订）（省农业农村厅起草）5.河北省安全生产违法行为行政处罚规定（修订）（省应急管理厅起草）6.河北省实施《军人抚恤优待条例》办法（修订）（省退役军人事务厅起草）7.河北省治理货运车辆超限超载规定（修订）（省交通运输厅起草）省司法厅要会同省有关部门围绕落实党中央、国务院重大决策部署并与上位法的立改废相衔接，根据省委、省政府要求，对现行有效的省政府规章进行动态清理，按照改革需要和轻重缓急，提出修改或者废止意见。,其他
