标题,时间,内容,一级类别,来源网站,访问地址,附件链接
河北省教育厅关于公布全省校园冰雪运动特色学校名单的通知,2023年10月10日,,思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2023/11/21/1700538424352.html,
河北省教育厅关于进一步推广保定市学校美育工作经验的通知,2023年09月21日,,思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2023/11/21/1700538334563.html,
河北省教育厅 河北省体育局关于开展 2023 年度体教融合标杆县（市、...,2023年09月07日,,思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2023/11/21/1700536621697.html,
河北省教育厅关于推广学习保定市体育美育改革经验的通知,2023年03月14日,,思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2023/11/21/1700538199685.html,
河北省教育厅河北省体育局关于开展体教融合标杆县（市、区）创建工作的通知,2022年04月13日,"各市（含定州、辛集市）教育局、体育局，定州市文广旅局，辛集市文体局，雄安新区公共服务局、宣传网信局：
　　
　　为深入贯彻习近平总书记关于教育的重要论述和加快体育强国建设的重要指示，贯彻落实中央和我省关于加强学校体育工作和体教融合相关文件精神，充分发挥基层党委政府作用，激发首创精神，培育典型经验，经研究，决定开展体教融合标杆县（市、区）（以下简称“标杆县”）创建工作。现将有关要求通知如下。
　　
　　一、建设目标
　　
　　标杆县要对标省体育局和省教育厅印发的《关于深化体教融合促进青少年健康发展的实施意见》（冀体字〔2021〕22号）（附件1）开展工作，首批标杆县主要定量目标包括：
　　
　　1.建设一批体育特色学校，特色学校数量占本地中小学总数的比例不小于1/4；
　　
　　2.建立健全体育竞赛体系，参加各种正规赛事的小学生人数占本地小学生总数的比例不小于1/3；
　　
　　3.提升学生体质健康水平，初中学生体质健康优良比例不小于1/2。
　　
　　二、建设数量
　　
　　2022-2024年期间，拟遴选20个左右的县（市、区）开展标杆县创建工作。2022年，拟遴选首批5个左右的标杆创建县（市、区）。
　　
　　三、申报条件
　　
　　具备一定的硬件基础和体育传统，当地党委政府高度重视体教融合工作并提出有效举措的县（市、区）均可申报。
　　
　　四、申报程序
　　
　　1.自主申报。有意愿深化体教融合工作、创建体教融合标杆县的县（市、区），由教育和体育行政部门按要求撰写申报报告（附件2），5月16日前将相关申报材料（扫描电子版，合成一个文件。文件名：XX县（市、区）体教融合标杆县申报材料）报送至省教育厅体育卫生艺术教育处。
　　
　　2.初选。省级教育和体育行政部门将组建省级专家组对申报材料进行形式审查和初步筛选，重点考察主要领导重视程度和申报态度，根据评分结果初选出若干县（市、区）。
　　
　　3.评估。省级专家组对通过初选的县（市、区）开展实地评估，重点考察当地硬件条件和体育传统，根据评分结果进入下一答辩环节。
　　
　　4.答辩。由县（市、区）党委或政府主要负责同志代表党委政府对创建工作进行答辩，重点考察完成建设目标的工作思路和举措，由省级专家评委会现场打分。
　　
　　5.名单确定。综合考察候选县（市、区）的申报材料、实地评估和答辩表现评定总成绩，其中申报工作经过县（市、区）委常委会或者县（市、区）政府常务会讨论通过的，予以加分。排名在前列的候选县（市、区），经公示后最终确定5个左右的2022年体教融合标杆创建县（市、区）。
　　
　　五、政策支持
　　
　　1.给予每个标杆创建县（市、区）50万元项目经费支持。
　　
　　2.省教育厅、省体育局对标杆创建县（市、区）在学校体育教学、训练、竞赛、师资培训和选送体育特长生培训等方面给予支持，并在相关领域工作中优先考虑。
　　
　　3.标杆创建县建设周期为3年，期满经专家评估合格后，授予“河北省体教融合标杆县（市、区）”称号。
　　
　　六、有关要求
　　
　　1.各市级教育和体育行政部门要高度重视，做好广泛动员工作。
　　
　　2.申报县（市、区）要珍惜机会，积极争取党委政府主要领导支持，利用标杆县建设契机，全面加强教育体育工作。
　　
　　3.各市级教育和体育行政部门要加大对标杆创建县（市、区）的支持力度，加强指导管理。
　　
　　4.省教育厅、省体育局将建立退出机制，定期组织专项检查，对于工作推进不力的地区，终止创建工作并予以通报。
　　
　　联系人：田昊，0311-66005305；王莎，0311-66005717（传真）。电子邮箱：jyttwy2022@163.com。
　　
　　附件：1河北省体育局、河北省教育厅印发《关于深化体教融合促进青少年健康发展的实施意见》的通知

2体教融合标杆县（市、区）申报报告要求
　　
　　河北省教育厅河北省体育局
　　
　　2022年4月13日",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2022/04/27/1655707954013.html,http://jyt.hebei.gov.cnmailto:jyttwy2022@163.com;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20220427134437704.pdf;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20220427134437663.pdf;
河北省教育厅关于印发《河北省初中学业水平体育与健康科目考试方案》的通知,2022年01月28日,"




相关解读：树立健康第一理念，增强学生身体素质——省教育厅体卫艺处负责人就《河北省初中学业水平体育与健康科目考试方案》答记者问",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2022/02/10/1655707568275.html,http://jyt.hebei.gov.cn/col/1575448237070/2022/02/10/1644485877018.html;
关于在全省教育系统组织开展 2021 年“安全生产月”活动的通知,2021年06月01日,"

",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2021/06/01/1634271138098.html,
河北省教育厅关于印发《河北省教育系统“制止餐饮浪费 培养节约习惯”行动...,2020年09月28日,"
各市（含定州、辛集市）教育局、雄安新区公共服务局，各高等学校、省属中等职业学校：
为认真贯彻落实习近平总书记关于坚决制止餐饮浪费行为的重要指示精神，贯彻落实省委办公厅、省政府办公厅《关于深入贯彻落实习近平总书记重要指示精神坚持厉行节约反对餐饮浪费的通知》和《教育部办公厅关于印发〈教育系统“制止餐饮浪费培养节约习惯”行动方案〉的通知》要求，结合我省工作实际，研究制定了《河北省教育系统“制止餐饮浪费培养节约习惯”行动方案》，现印发给你们，请认真贯彻落实。

河北省教育厅
2020年9月27日

河北省教育系统
“制止餐饮浪费培养节约习惯”行动方案

为深入贯彻中央关于厉行节约、反对浪费的重要精神，贯彻落实省委、省政府和教育部工作部署，坚决制止学校餐饮浪费行为，切实培养青少年勤俭节约习惯，引领带动社会文明新风尚，特制订本方案。
一、工作目标
坚持以习近平生态文明思想为指引，落实立德树人根本任务，让勤俭节约在全省教育系统蔚然成风，引导广大师生牢固树立勤俭节约意识，切实养成勤俭节约的良好习惯，成为抵制浪费、爱粮节粮的践行者、倡导者和推动者。2020年秋季学期行动取得明显成效，在此基础上建立健全学校餐饮节约管理长效机制，完善节约教育工作体系，结合绿色学校创建，因校制宜制定针对性、操作性、实效性强的措施，重在从根本上解决学校餐饮浪费问题。进一步加大教育宣传力度，弘扬社会主义核心价值观和中华优秀传统美德，促进学生德智体美劳全面发展。
二、工作安排
（一）明理培德，全面融入教育教学
各级各类学校要充分发挥课堂主渠道作用，根据教育教学规律和不同年龄段学生特点，把勤俭节约内容有机融入高校思想政治理论课、高校形势与政策教育宣讲、中等职业学校思想政治课程教学、中小学德育课程教学、幼儿园习惯养成等教育环节之中，在高校哲学社会科学和中小学语文、历史、生物、化学等课程中深入挖掘教育资源，鼓励在校本课程中融入相关内容。各级各类学校要将教学内容与实际结合起来，丰富教学内容、创新教学形式，使节约教育课堂教学形式鲜活、内涵深刻。
（二）弘文浸润，大力培育校园文化
1.广泛开展宣传引导。充分发挥环境育人功能，全方位、多形式开展勤俭节约校园文化建设。及时制定并发布校园反浪费倡议和守则，弘扬文明就餐、杜绝浪费的用餐文化。充分发挥校园广播、标语、挂图、公告栏和网络等媒介，多种形式宣传制止餐饮浪费，让节约教育在学校随处可见，营造浓厚氛围。加强先进典型正面宣传，发挥榜样示范作用，对浪费行为开展反面警示教育，加大对浪费行为纠正力度。将勤俭节约作为文明校园创建的重要内容，组织编排展演一批校园文化作品。壮大宣教队伍，积极组建勤俭节约宣教志愿服务队伍，广泛开展宣传活动。
2.积极组织实践活动。各级各类学校要科学制定实践教育方案，分层次系统化开展节约教育实践活动。围绕节约教育开展主题班会、主题党团日、艺术节、读书读报、征文演讲等多样性活动。利用世界粮食日、全国爱粮节粮宣传周等契机开展专题教育，加强粮食安全宣传。将爱粮节粮教育与学生劳动实践、研学实践、社会实践结合起来，广泛开展实践体验活动并形成制度，城市中小学要在每个学段至少安排一次农业生产劳动，农村中小学要因地制宜开展种植养殖体验，支持大学在食堂建立育人实践基地。
（三）做精做优，全面加强食堂管理
1.细化运行管理。加强学校食堂源头管理、细节管理、过程管理、效果管理，强化食品原材料采购、储存、运输、加工和成品销售全链条节约管理，实现食材配比有效动态调整。健全学校食堂餐饮服务单位准入、监管和退出机制，强化餐饮从业人员管理培训，提升餐饮从业人员技能水平，改进烹饪工艺，提高饭菜质量，提高食品原料利用率，严格成本管控，最大限度减少损失浪费。鼓励有条件的学校探索设立中央厨房、中央库房，实行集约化、专业化的高效管理。
2.优化供餐服务。坚持学生健康成长服务方向，优化创新食堂经营服务方式，坚决做到食品卫生安全、营养搭配、美味可口。结合学生性别年龄等消费特点，改善食堂配餐份量，推行大小份、半份、拼菜等供餐制度，鼓励实行按量收费制度和自助取餐形式。健全多样化餐饮保障体系，积极推进菜品创新、传统节日食品和风味小吃进校园。建立校园食堂餐饮质量反馈制度，减少因饭菜质量、口味因素导致的食物浪费。各级营养办要指导农村义务教育学生营养改善计划试点学校加强供餐管理，提高供餐质量。
3.抓好现场监督。强化学校食堂厉行节约宣教，在醒目位置张贴宣传标语、宣传画，摆放提示牌。加强学校食堂团餐浪费行为监管。实行就餐窗口适量推送、超量提醒机制，避免浪费。安排专人加大食堂就餐巡视力度，建立以教师和学生为主体的就餐监督员志愿者队伍，加强自我管理和自我监督。严格落实中小学、幼儿园集中用餐陪餐制度。在食物收残环节对浪费行为进行直接监督提醒，健全校园食堂浪费信息公布制度，对有严重浪费行为的人员加强联合教育管理。要积极创新管理思路，建立健全激励机制和问题反映机制。
4.推行创新科技。大胆引进新技术、新工艺、新装备制止学校餐饮浪费，创新运用物联网、人工智能新技术，推行“智慧食堂”建设。推行食材供应链信息化管理，建立采购和库存电子台账制度、食材溯源线上跟踪制度，有计划地采购食材。开发就餐管理服务平台，根据订餐数据科学备餐、精准供餐，探索利用大数据手段分析峰谷人数和用餐习惯，提供个性化服务，加强服务互动，掌握师生菜品满意度，及时调整菜品，减少浪费。采取技防措施，推进食堂名厨亮灶工程建设，通过视频监控等形式，实现食堂全流程、无死角监控，动态监测食堂泔水量信息，建立食品浪费信息定期发布机制，及时制止浪费行为。
（四）制度为本，健全节约制度体系
各级各类学校要坚持厉行节约办教育，把节约资源的绿色理念贯穿到学校教育、管理各项工作中，编制餐饮节约年度工作计划。组织开展学校餐饮浪费摸排，掌握餐饮浪费基本情况，深入分析研判，把握关键环节，在绿色学校创建的大框架下，制定具体管理制度和办法，构建学校餐饮节约立体式、全方位制度体系。各地各学校要建立健全餐饮节约行为考评制度，将厉行节约反对浪费表现纳入师德师风、学生综合素质和食堂评价体系，作为师生评价评优和食堂考核的重要参考。建立健全餐饮节约激励机制，对工作出色、成效显著的学校和个人予以表扬和宣传。组织“绿色食堂”、节约型食堂示范创建活动，营造餐饮节约良好环境。在食堂价格平抑基金、标准化食堂建设、专项物价补贴、绿色学校创建等政策性措施中纳入制止餐饮浪费指标。
（五）敏知笃行，践行节约自觉行动
1.全面开展厉行节约专项行动。各地各学校要把握“10·16”世界粮食日契机，集中开展以制止餐饮浪费培养节约习惯为主题的实践活动，掀起爱粮节粮教育学习宣传热潮。各级各类学校要常态化开展以“厉行节约、制止浪费”为目标的“光盘行动”，创新活动方式，结合实际开展光盘打卡、光盘换水果、浪费随手拍等活动。
2.专门组织厉行节约监督检查。全省教育系统要即时开展坚持厉行节约制止餐饮浪费大检查活动，制定专门工作计划。各级各类学校要先进行自查，重点检查校园餐饮浪费、节约用餐制度建设落实以及节约教育工作开展情况。各地教育行政部门要采取有力措施对所属大中小学制止餐饮浪费培养节约习惯工作进行全面检查。省教育厅将适时组织抽查。各地各学校要坚持问题导向，全面排查餐饮浪费问题，制定行之有效的改进措施，做到即查即改，整改到位。
三、保障措施
（一）健全组织机制。各地各高校要结合实际尽快出台制止餐饮浪费培养节约习惯的工作方案，细化工作举措。各级各类学校要建立学校党政一把手负总责，分管校领导具体负责，职能部门领导、有关专职人员为骨干的工作力量，建立后勤、宣传、学工、教务、群团等多部门共同参与的协同联动工作机制。党员领导干部、教师要以身作则、率先垂范，践行勤俭节约。
（二）凝聚行动合力。学校要履行主体责任，食堂履行管理直接责任。学校要动员共青团、少先队等组织力量，引导青少年发挥主力军和生力军作用。各中小学要加强家校合作，充分依托家长学校、家委会，强化厉行节约反对浪费家庭教育。要注重发挥家委会的监督作用，及时向家长通报学生餐饮浪费行为，积极构建厉行节约家校共育工作格局。各地各学校要积极与当地妇联、共青团和消费者协会等组织加强沟通联系，合力推动制止餐饮浪费。
（三）强化督查考核。将教育系统厉行节约、反对浪费情况纳入市县政府履职评价和义务教育均衡发展督导验收，纳入各市、县（市、区）教育行政部门和高校年度考核内容，将中小学校（幼儿园）开展勤俭节约宣传教育、建立长效机制情况作为责任督学挂牌督导的重要内容。各级教育行政部门要加强对学校开展制止餐饮浪费工作的指导和监督检查，加大明察暗访力度，对贯彻落实不力的要予以通报批评，责令限期整改。
（四）做好总结评估。各地教育行政部门要按年度对所属学校行动开展情况和实施效果进行评估和考核，积极探索符合本地实际的方法、措施，鼓励各校创新工作理念和思路，不断完善体制机制，推广一批示范典型。要总结行动中成熟经验做法，固化提升为制度规定、标准规范，促进形成制止餐饮浪费、培养节约习惯的长效机制，每年年底前将评估考核结果和典型经验报上级主管部门备案。省教育厅将择优推广宣传典型经验。
各地各学校制止餐饮浪费培养节约习惯有关工作情况和典型经验做法请及时报送省教育厅。
联系人：魏蓓蓓
联系电话：0311-66005312
电子邮箱：jytdyc2660@126.com
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/09/28/1601288065930.html,
河北省教育厅关于遴选河北省高等学校劳动教育教学指导委员会委员的通知,2020年08月27日,"各高等学校：

为深入贯彻落实党中央、国务院《关于全面加强新时代大中小学劳动教育的意见》（中发〔2020〕7号）和省委、省政府《关于全面加强新时代大中小学劳动教育的实施意见》（冀发〔2020〕12号），切实加强我省大中小学劳动教育，充分发挥专家组织的研究和指导作用，提升全省高校劳动教育教学工作水平，拟成立河北省高等学校劳动教育教学指导委员会委员，现将有关事项通知如下。

一、高等学校劳动教育教学指导委员会性质

河北省高等学校劳动教育教学指导委员会是省教育厅领导的专家组织，受省教育厅委托，开展高等学校劳动教育教学的研究、咨询、指导、评估、服务等工作。

二、高等学校劳动教育教学指导委员会职责

开展高等学校劳动教育理论与实践研究，就教材建设、教学教育方法改革、师资队伍和学科建设等向教育行政部门提出意见和建议，开展教师培训等。

三、推荐条件

（一）政治立场坚定。坚决拥护中国共产党的领导，全面贯彻党的教育方针，热心高校劳动教育事业，德才兼备、公道正派、廉洁自律。

（二）业务素质过硬。从事高校劳动教育教学科研或行政管理工作，熟悉高校劳动教育教学工作政策要求，学术造诣高，组织协调能力强，工作业绩突出，具有副高及以上职称。

（三）健康状况良好。年龄原则上不超过60周岁（个别资深专家不受此限制），身体健康，有意愿、有精力和时间承担相关工作。

（四）积极支持工作。推荐单位能积极支持委员会的工作，并为委员提供参加委员会工作的必要保障。委员每年能义务承担1-2次委员会赋予的工作任务。

四、推荐要求

每校推荐专家1名，组织专家填写《河北省高等学校劳动教育教学指导委员会委员推荐表》。

五、推荐时间

各高校于2020年9月11日前将相关推荐材料纸质版（1份）邮寄至省教育厅德育处。并将电子版发送至指定邮箱，邮件主题栏注明“XX学校高校劳动教育教学指导委员会委员推荐材料”。

联系人：王瑞飞联系电话：0311-66005799

电子邮箱：dycwrf@163.com

邮寄地址：石家庄市中山西路449号省教育厅1321房间

附件：河北省高等学校劳动教育教学指导委员会委员推荐表

　　河北省教育厅
　　
　　2020年8月25日
冀教德育函2020年32号.doc",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/08/27/1599730579640.html,http://jyt.hebei.gov.cnmailto:dycwrf@163.com;
河北省教育厅关于遴选河北省中小学校劳动教育教学指导委员会委员的通知,2020年08月27日,"各市（含定州、辛集市）教育局，雄安新区公共服务局：

为深入贯彻落实党中央、国务院《关于全面加强新时代大中小学劳动教育的意见》（中发〔2020〕7号）和省委、省政府《关于全面加强新时代大中小学劳动教育的实施意见》（冀发〔2020〕12号），切实加强我省中小学劳动教育，充分发挥专家组织的研究和指导作用，提升全省中小学劳动教育教学工作水平，拟成立河北省中小学校劳动教育教学指导委员会，现面向全省遴选专家，具体推荐要求如下：

一、组织方式

推荐工作以市为单位。各市教育行政部门负责遴选推荐本辖区内教育系统专家，由市教育局汇总后上报省教育厅。

二、中小学校劳动教育教学指导委员会性质

河北省中小学校劳动教育教学指导委员会是省教育厅领导的专家组织，受省教育厅委托，开展中小学劳动教育教学的研究、咨询、指导、评估、服务等工作。

三、中小学校劳动教育教学指导委员会职责

开展中小学劳动教育理论与实践研究，就教材建设、教学教育方法改革、师资队伍和学科建设等向教育行政部门提出意见和建议，开展教师培训等。

四、推荐要求

推荐人选应为教育行政部门负责劳动教育工作人员或从事劳动教育的中小学校长、德育主任、大队辅导员、教师、教研员等，专任教师和教研员应具有副高及以上职称，在劳动教育教学和科研工作中取得突出成绩的可适当降低标准，并需符合以下条件：

（一）政治立场坚定。坚决拥护中国共产党的领导，全面贯彻党的教育方针，热心中小学劳动教育事业，德才兼备、公道正派、廉洁自律。

（二）业务素质过硬。从事中小学劳动教育教学科研或行政管理工作，熟悉中小学劳动教育教学工作政策要求，学术造诣高，组织协调能力强，工作业绩突出。

（三）健康状况良好。年龄原则上不超过60周岁（个别资深专家不受此限制），身体健康，有意愿、有精力和时间承担相关工作。

（四）积极支持工作。推荐单位能积极支持委员会的工作，并为委员提供参加委员会工作的必要保障。委员每年能义务承担1-2次委员会赋予的工作任务。

五、报送方式

各地教育行政部门推荐专家2-3名（定州、辛集、雄安推荐1名），组织专家填写《河北省中小学校劳动教育教学指导委员会委员推荐表》，并于2020年9月11日前将推荐表纸质版（1份）邮寄至省教育厅德育处。并将电子版推荐表发送至指定邮箱，邮件主题栏注明“XX市中小学劳动教育教学指导委员会委员+被推荐人姓名”。

联系人：王瑞飞联系电话：0311-66005799

电子邮箱：dycwrf@163.com

邮寄地址：石家庄市中山西路449号省教育厅1321房间

附件：河北省中小学校劳动教育教学指导委员会委员推荐表

　　河北省教育厅
　　
　　2020年8月25日

",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/08/27/1599730579479.html,http://jyt.hebei.gov.cnmailto:dycwrf@163.com;
