标题,时间,内容,一级类别,来源网站,访问地址,附件链接
河北省语言文字工作委员会河  北  省  教  育  厅关于组织申报第...,2024年01月10日,"



附件：1.河北省语言文字推广基地评审标准（试行）
2.河北省语言文字推广基地申报表
",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2024/01/18/1711527831157.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20240118163215603.doc;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20240118163215566.doc;
河北省语言文字工作委员会河北省教育厅关于组织申报第三批国家语言文字推广...,2023年02月22日,"

",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2023/02/23/1678333613131.html,
河北省语言文字工作委员会河北省教育厅转发《教育部 国家语委关于加强高等...,2023年01月05日,"

",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2023/01/16/1678333613672.html,
河北省语言文字工作委员会河北省教育厅河北省乡村振兴局转发教育部 国家乡...,2022年02月21日,"

",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1410097726928/2022/03/03/1646295086670.html,
关于举办第四届“新声”大学生语言文化艺术节的通知,2021年07月05日,"

",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2021/07/05/1634271103304.html,
河北省语言文字工作委员会 河北省教育厅关于举办第三届中华经典诵写讲“笔...,2021年06月23日,"

",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2021/06/23/1624413708127.html,
河北省语言文字工作委员会 河北省教育厅关于参加全国第三届中华经典诵写讲...,2021年06月23日,"

",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2021/06/23/1624413580984.html,
河北省语言文字工作委员会关于对2019 年度县级政府语言文字工作督导评...,2020年04月15日,"
冀语〔2020〕2号


各市（含定州、辛集市）人民政府，有关县人民政府：
根据国务院督导办《语言文字工作督导评估暂行办法》（国教督办〔2015〕5号）和《河北省语言文字工作督导评估暂行办法》（冀教督〔2016〕6号），2019年，由省政府教育督导委员会、省语言文字工作委员会牵头，省教育厅组织47个督导评估组、近三百人次，深入到石家庄市深泽县等47个县（市、区），从制度建设、条件保障、宣传教育和发展水平四个方面对县级政府语言文字工作进行督导评估。
整体来看，各市和有关县级政府对语言文字工作督导评估高度重视，积极贯彻国家和省语言文字事业发展规划纲要和“十三五”发展规划，稳步推进语言文字事业健康发展。各市政府对接受省督导评估的县（市、区）加强了市级督导评估。相关县级政府进一步强化了领导，从制度建设、条件保障、宣传教育和发展水平四个方面提高了县域语言文字工作发展水平。经省政府批准，现将2019年度对县级政府语言文字工作督导评估情况通报如下。
一、2019年度县级政府语言文字工作督导评估结果
（一）认定石家庄市深泽县等47个县（市、区）语言文字工作的督导评估结果为合格。经过督导评估和综合评议，石家庄市深泽县、赞皇县、元氏县、高邑县、行唐县、灵寿县，承德市双桥区、丰宁满族自治县、宽城满族自治县、承德县，张家口市怀来县、怀安县、阳原县、桥西区，秦皇岛市山海关区、卢龙县，唐山市遵化市、玉田县、路北区、丰润区，廊坊市开发区、广阳区、安次区，保定市安国市、易县、涞水县、望都县、清苑区，沧州市海兴县、孟村回族自治县、献县，衡水市桃城区、开发区、冀州区、滨湖新区，邢台市桥西区、南和县、清河县、邢台县、桥东区、开发区，邯郸市邱县、涉县、曲周县、广平县、磁县、武安市等47个县（市、区）语言文字工作达到了督导评估的要求。在“制度建设、条件保障、宣传教育、发展水平”等方面取得了良好的成绩。根据《河北省语言文字工作督导评估暂行办法》规定，认定深泽县等47个县（市、区）语言文字工作的督导评估结果为合格。
（二）对石家庄市深泽县等15个成绩突出的县（市、区）予以通报表扬。根据《中华人民共和国国家通用语言文字法》第七条“奖励为国家通用语言文字事业作出突出贡献的组织和个人”和《语言文字工作督导评估暂行办法》第十条“对工作成效突出的进行奖励”的规定，在对47个县（市、区）语言文字督导评估结果综合分析评议的基础上，结合各市推荐意见，石家庄市深泽县和元氏县、张家口市桥西区、承德市丰宁满族自治县、秦皇岛市卢龙县、唐山市丰润区、廊坊市安次区、衡水市冀州区、沧州市孟村回族自治县、保定市安国市和清苑区、邢台市南和县和邢台县、邯郸市邱县和武安市等15个县（市、区）语言文字工作成绩突出，经省政府批准，由河北省语言文字工作委员会予以通报表扬。
二、工作开展情况
（一）责任意识增强，工作制度健全，政府和主管部门的责任进一步深化。2019年督导评估的47个县（市、区）普遍能将语言文字工作纳入到县（市、区）“十三五”规划之中、纳入到文明乡镇和文明单位考评、督查考核、县级有关部门和乡镇政府绩效管理之中。大部分县（市、区）下发了加强语言文字工作的文件，明确年度工作目标，召开会议部署相关工作。县（市、区）语委很多成员单位落实了语言文字工作“一把手”负责制，不断强化公共服务行业的社会责任感，实现了部门监管、行业自律、专人负责、齐抓共管的工作格局。各县（市、区）已经初步形成覆盖党政机关、各类学校、新闻媒体、窗口服务单位以及街道社区等社会层面的语言文字工作网络。
（二）广泛开展宣传，工作氛围浓厚，社会影响力明显提升。47个县（市、区）积极落实中共中央办公厅、国务院办公厅《关于实施中华优秀传统文化传承发展工程的意见》。语言文字和宣传、法制部门通力协作，利用每年的“全国推广普通话宣传周”和“河北省推广普通话、推行规范汉字宣传月”宣传语言文字法律法规、规范标准，开展各具特色的宣传活动。在充分发挥传统宣传方式基础上，建立语言文字工作QQ群、微信群，积极发挥网络媒体的宣传作用，营造了良好的氛围。基本做到了“三融入”，即把语言文字工作融入精神文明建设中、融入行业管理中、融入美丽乡镇建设中。党政机关龙头作用进一步发挥，语委成员单位认真履职尽责，行政审批、工商、城管等部门依法加强审批把关和监督检查。新闻媒体既坚持做规范使用语言文字的榜样，同时注重社会宣传。公共服务行业把规范使用国家通用语言文字作为提升窗口单位形象的重要举措。乡镇农村结合美丽乡村建设和农村生态旅游，推进区域语言文字规范化工作，有力促进了国家通用语言文字整体规范化水平的提高。
（三）融入教育教学，持续强化主阵地，学校语言文字工作进一步加强。各县（市、区）教育部门按照《河北省学校语言文字工作达标建设实施方案》要求，努力培养学生的“一种能力两种意识”，即：语言文字应用能力，自觉规范使用国家通用语言文字和自觉传承弘扬中华优秀文化的意识。学校作为主阵地，将语言文字工作纳入日常管理，列入科研项目总体规划，把提高学生语言文字应用能力列入培养目标的基本要求，作为教育教学的基本内容，将学生语文素质的培养渗透到德育、智育、体育、美育、社会实践及校园文化建设等各项教育活动中，工作有了新的发展和提升。
（四）层层落实责任，做好分级督导，推进县域语言文字事业科学发展。河北省语言文字工作督导评估通过县级自查、市级复查、省级督导的“三级督导”制度，积极推进市、县两级政府及相关职能部门履行职责，一是加强了语言文字工作督导的队伍建设，配备与工作任务相适应的专业队伍，加强对督导人员的培训，努力提高各级督学的理论水平和业务能力。二是创新了语言文字工作督导评估机制，坚持问题导向，改进督导评估方法，完善督导评估机制，建立奖惩激励机制，将督导评估结果作为对县级政府考核的内容。三是指导市级政府搞好对所辖县（市、区）的年度督导，增强了县级政府做好语言文字工作的自觉性和主动性，推动了县域语言文字事业的健康发展。
三、当前县域语言文字工作存在的主要问题
一是有的县（市、区）对使用普通话和规范汉字的重视程度依然不够；对语言文字在经济社会发展特别是在教育、文化等领域中的基础性、先导性作用认识不足，没有真正把语言文字工作摆到应有的位置上来，在专职人员、专项经费等方面投入较少，缺乏相关制度的有效保障，尚不能完全适应县域语言文字事业发展的需要。
二是一些县级政府对语言文字工作缺乏总体规划和目标定位，部门之间、行业之间语言文字工作存在发展不均衡的现象，甚至对近两年来的国家语言文字方针、政策、标准掌握不全面、执行不到位。社会用语用字仍存在着不规范现象，乡镇农村语言文字规范化工作尚有短板。
四、加强县级政府语言文字工作的建议
一是立足新时代，着眼未来，持续优化县域语言文字事业发展环境。语言文字工作已经由最初的“单口径”，发展到现在的“全口径”。当前，县域语言文字工作主要包括普及国家通用语言文字、推进语言文字信息化建设、提高国家语言文字服务能力、弘扬传播中华优秀语言文化、完善语言文字工作治理体系等方面。县级政府要加大工作力度，统筹规划，持续优化县域语言文字事业发展环境，抓好“三保三列入”，即保障工作机构、保障专兼职工作人员、保障专项经费，列入政府议事日程、列入社会事业发展规划、列入教育事业发展规划，并建立语言文字工作长效管理机制、健全激励机制，进一步完善“政府负责、语委统筹、部门协同、齐抓共管”的语言文字工作格局，稳步提升语言文字事业服务县域社会需求的能力。
二是聚集重点带动全局，切实加大宣传力度，不断提升语言文字社会影响力。县级政府有关部门要充分利用现代信息技术手段，充分发挥自媒体、融媒体、新媒体、全媒体的作用，加强定期宣传与新常态宣传，持续做好“三推三融入”，即推进普及《国家通用语言文字法》宣传、推广普通话宣传、推行规范汉字宣传，融入精准扶贫工作中、融入文明城市创建中、融入美丽乡村建设中。继续以传承弘扬中华优秀传统文化重大活动为引领，营造良好社会氛围。
三是细化目标稳步推进，加强学校语言文字工作，继续发挥主阵地示范作用。继续深入推进学校语言文字工作达标建设，进一步抓好“三创新三纳入”，即创新教育改革引导机制、创新教师培训长效机制、创新教育教学激励机制，将语言文字工作纳入到立德树人教育之中、纳入到优质教育提升之中、纳入到内涵式高质量发展之中，助力学前教育普及普惠发展、义务教育优质均衡发展、普通高中优质特色发展、职业教育产教融合发展、教育信息化发展。依据《河北省学校语言文字工作达标建设实施方案》，切实做好各级各类学校语言文字工作达标建设的自查、复查、抽查工作，把学校打造成社会语言文字规范化建设的示范标杆。
四是坚持问题导向，深化分级督导，促进县域语言文字事业科学发展。继续深化分级督导，推进市、县两级政府及相关职能部门履行职责，进一步“以评促建设、以评促提升”，通过县级自评、市级复评、省级评价，提升专业队伍素养、提升县级自评能力、提升市级督导成效。进一步完善分级督导机制，健全回访复查机制，落实奖励激励机制。逐步形成督导合力，推进县域语言文字事业改革，促进全省语言文字事业持续健康发展，为建设美丽河北作出更大贡献！
特此通报

河北省语言文字工作委员会
2020年3月31日
",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2020/09/10/1599731032238.html,
河 北 省 教 育 厅 河北省语言文字工作委员会关于印发《河北省学校语...,2018年08月10日,"
各市（含定州、辛集市）教育局、语委，雄安新区管委会，各高等学校：
2017年6月，省教育厅、省语委转发了《教育部国家语委关于进一步加强学校语言文字工作的意见》，制定并印发了河北省幼儿园和高等学校语言文字工作指导标准。今年，学校语言文字工作达标建设已列入对各级政府履行教育职责的评价体系。为增强学校语言文字工作达标建设的实效性，现将《河北省学校语言文字工作达标建设实施方案》印发给你们，请认真执行，确保按期完成学校语言文字工作达标建设任务。

河北省教育厅河北省语言文字工作委员会
2018年4月24日

附件
河北省学校语言文字工作达标建设实施方案

根据《教育部国家语委关于进一步加强学校语言文字工作的意见》(教语用〔2017〕1号)和《河北省教育厅河北省语言文字工作委员会转发教育部国家语委关于进一步加强学校语言文字工作意见的通知》（冀教语〔2017〕3号）精神，结合河北省学校语言文字工作实际，制定本实施方案。
一、指导思想
深入学习党的十九大精神，以习近平新时代中国特色社会主义思想为指导，认真贯彻党和国家的语言文字工作方针政策、法律法规，落实《国家中长期教育改革和发展规划纲要(2010-2020年)》《国家中长期语言文字事业改革和发展规划纲要（2012-2020年）》《国家语言文字事业“十三五”发展规划》，切实发挥学校在语言文字工作中的基础作用，大力推广和规范使用国家通用语言文字，提升师生语言文字应用能力，增强师生自觉规范使用国家通用语言文字的意识和自觉传承弘扬中华优秀传统文化的意识，助力中华民族的伟大复兴。
二、实施要求
各级各类学校要对照国家及河北省学校语言文字工作指导标准，广泛开展达标建设，逐项落实，确保2020年底前完成所有学校语言文字工作达标建设抽查验收。幼儿园要根据《河北省幼儿园语言文字工作指导标准》开展达标建设，注重建设校园语言文字规范环境和培养幼儿规范使用国家通用语言文字的意识。中小学（含中等职业学校）要根据国家《中小学语言文字工作指导标准》开展达标建设，注重培养中小学生语言文字应用能力、自觉规范使用国家通用语言文字的意识和自觉传承弘扬中华优秀传统文化的意识。高等学校要根据《河北省高等学校语言文字工作指导标准》开展达标建设，注重提升大学生的语言文字应用能力、自觉规范使用国家通用语言文字的意识和自觉传承弘扬中华优秀传统文化的意识。
（一）实施分级管理
学校语言文字工作达标建设由各级教育行政部门和语言文字工作部门依权限分级管理，按照学校自评、逐级汇总、集中上报、分批抽查的方式进行。
1.县级教育行政部门和语言文字工作部门负责全县所有学校语言文字工作达标建设及验收。
县（市、区）属各幼儿园依据指导标准，撰写自评报告，填写“河北省幼儿园语言文字工作达标建设自评表”（附1），并准备相应的佐证材料。县（市、区）属各中小学（含中等职业学校）依据指导标准，撰写自评报告，填写“河北省中小学语言文字工作达标建设自评表”（附2），并准备相应的佐证材料。
各县（市、区）汇总学校达标建设情况及结果，于2018年9月底前，向市教育行政部门和语言文字工作部门提交县级学校语言文字工作达标建设自评报告和“县（市、区）属学校语言文字工作达标建设统计表”（附3）、“县（市、区）属学校语言文字工作达标建设分段汇总表”（附4）。
县级教育行政部门和语言文字工作部门分年度对辖区内学校进行达标验收。
2.雄安新区管委会及市级教育行政部门和语言文字工作部门负责辖区内幼儿园、中小学（含中等职业学校）和市属学校语言文字工作达标建设及验收。
雄安新区管委会及市级教育行政部门和语言文字工作部门负责制定所辖学校的达标建设工作计划和实施方案，确定分年度抽查比例。
雄安新区管委会及市级教育行政部门和语言文字工作部门于2018年10月底前，向省语委办公室提交全市的学校语言文字工作达标建设情况报告和“市属学校语言文字工作达标建设统计表”（附5）、“市属学校语言文字工作达标建设分段汇总表”（附6）、“市各级各类学校语言文字工作达标建设数据统计表”（附7）、“市各级各类学校语言文字工作达标建设分段汇总表”（附8）。
为保证学校语言文字工作达标建设质量，雄安新区管委会及市级教育行政部门和语言文字工作部门要对辖区内各级各类学校按一定比例进行复查，现场核实自评得分的佐证材料。
3.所有高等学校须在2018年10月底前完成自评，准备相关佐证材料，并向省语委办公室提交“河北省高等学校语言文字工作达标建设自评表”（附9）和自评报告。
4.省教育厅、省语委对全省学校语言文字工作达标建设按比例进行抽查。对幼儿园、中小学的抽查，与语言文字工作督导评估同时进行。对高等学校的抽查，按“河北省高等学校语言文字工作达标建设抽查时间表”（附10）分年度进行。
省级、国家级语言文字规范化示范校原则上可免予抽查。
（二）抓好统筹协调
雄安新区管委会及市县两级相关部门要将学校语言文字工作达标建设与语言文字工作督导评估、国家通用语言文字普及攻坚工程等工作有机结合，制订本地达标建设工作的时间表和路线图，加大力度，统筹推进，确保各项工作顺利实施。
（三）加强组织领导
各高等学校、雄安新区管委会、市县两级教育行政部门和语言文字工作部门要认真履行语言文字工作职责，进一步健全机构、充实人员、明确分工、保障经费，扎实开展学校语言文字工作达标建设，确保各级各类学校语言文字工作达标建设如期完成。
三、奖励与问责
学校语言文字工作达标建设的结果，已由教育督导部门列入对各级政府履行教育职责的评价体系。每年在接受省抽查的县（市、区）和高等学校中，对成绩突出的给予通报表扬；对职责落实严重不到位的或检查中存在弄虚作假行为的，给予通报批评。


附件1、河北省中小学语言文字工作达标建设自评表
附件2、河北省幼儿园语言文字工作达标建设自评表
附件3、河北省高等学校语言文字工作达标建设自评表
",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2018/08/10/1533892299571.html,http://jyt.hebei.gov.cnhttp://yczx.hee.gov.cn/download.jsp?pathfile=/atm/7/20180611120315223.doc;http://jyt.hebei.gov.cnhttp://yczx.hee.gov.cn/download.jsp?pathfile=/atm/7/20180611120308251.doc;http://jyt.hebei.gov.cnhttp://yczx.hee.gov.cn/download.jsp?pathfile=/atm/7/20180611120303259.doc;
《河北省实施〈中华人民共和国国家通用语言文字法〉办法》,2009年06月15日,"编者按：2007年11月23日，河北省第十届人民代表大会常务委员会第三十一次会议通过了《河北省实施〈中华人民共和国国家通用语言文字法〉办法》（简称《实施办法》），2008年1月1日施行。该《实施办法》共5章26条，对国家通用语言文字工作的管理职责、推广应用、督导评估、人员经费等作出了规定；并对实际工作中时常遇到的问题予以明确，如：“招牌中含有手书繁体字、异体字的，应当在明显位置配放规范汉字的招牌”。同时具有河北特色，如对国家公务员应达到的普通话水平规定：“省、设区的市、市辖区的国家机关、社会团体、事业单位工作人员为二级乙等以上。”为加强宣传，规定“每年9月为本省推广普通话和推行规范汉字宣传月。”另外，将“法律责任”单列1章。具有很强的可操作性。
河北省第十届人民代表大会常务委员会
公告
（第86号）

《河北省实施〈中华人民共和国国家通用语言文字法〉办法》已经河北省第十届人民代表大会常务委员会第三十一次会议于2007年11月23日通过，现予公布，自2008年1月1日起施行。
2007年11月23日
　　　河北省实施《中华人民共和国国家通用语言文字法》办法

（2007年11月23日河北省第十届人民代表大会常务委员会第三十一次会议通过）
第一章总则
第一条为推广普通话和推行规范汉字，加强国家通用语言文字工作的管理和监督，更好地发挥国家通用语言文字在社会生活中的作用，根据《中华人民共和国国家通用语言文字法》等有关法律、法规，结合本省实际，制定本办法。
第二条本省行政区域内国家通用语言文字的使用、管理和监督，适用本办法。
本办法所称的国家通用语言文字是普通话和规范汉字。
第三条公民有学习和使用国家通用语言文字的权利。任何组织和个人不得干涉他人学习和使用国家通用语言文字。
第四条县级以上人民政府应当将推广普通话、推行规范汉字作为社会主义精神文明建设的重要内容，对国家通用语言文字工作所需人员和经费予以保证，为公民学习和使用国家通用语言文字提供条件。
第五条县级以上人民政府语言文字工作主管部门负责本行政区域内国家通用语言文字工作的管理和监督。
县级以上人民政府工商行政管理部门依法对企业名称、商品名称以及广告的用语用字进行管理和监督。
县级以上人民政府其他有关行政管理部门按照各自的职责，做好国家通用语言文字的相关工作。
第六条乡(镇)人民政府和街道办事处负责做好本区域内国家通用语言文字的相关工作。
第七条广播、电视、报刊、网络等新闻媒体应当经常进行国家通用语言文字的宣传教育，适时发布相关公益广告，增强公民学习和使用国家通用语言文字的意识。
每年9月为本省推广普通话和推行规范汉字宣传月。
第八条县级以上人民政府及其有关部门对在国家通用语言文字工作中做出突出贡献的组织和个人，应当予以表彰、奖励。
第二章国家通用语言文字的使用
第九条下列情形，应当以普通话为基本用语：
(一)国家机关、社会团体、企业事业单位的公务活动用语；
(二)幼儿园、学校及其他教育机构的教育教学和校园用语；
(三)广播电台和电视台的播音、主持、采访用语，电影、电视剧和话剧的用语，汉语文音像制品和有声电子出版物的用语；
(四)公共服务行业直接面向公众的服务用语；
(五)各类会议、展览及其他大型群体性活动的工作用语。
第十条1954年1月1日以后出生的下列人员的普通话水平，应当根据国家行业主管部门的规定，分别达到以下等级标准：
(一)国家机关、社会团体、事业单位工作人员为三级甲等以上，其中省、设区的市、市辖区的国家机关、社会团体、事业单位工作人员为二级乙等以上；
(二)幼儿园、学校及其他教育机构的工作人员为三级甲等以上，其中教师及管理人员为二级乙等以上，汉语文教师为二级甲等以上，语音教师为一级乙等以上；
(三)高等学校、中等职业学校的学生为二级乙等以上，其中中文、外语、文艺、传媒、旅游等与口语表达密切相关专业的学生为二级甲等以上；
(四)广播电台和电视台的播音员、节目主持人及影视话剧演员为一级乙等以上，其中省级广播电台和电视台的播音员、节目主持人为一级甲等；
(五)公共服务行业的广播员、解说员、话务员、导游员等特殊岗位人员为二级甲等以上，其他直接面向公众服务的工作人员为三级甲等以上。
前款规定的人员经普通话水平测试尚未达到相应等级标准的，应当分别情况对其进行培训。
第一款第(一)、(二)、(四)、(五)项规定的岗位，新录用、聘用的工作人员，应当达到相应的普通话等级水平。
第十一条下列情形，应当以规范汉字为基本用字：
(一)国家机关、社会团体、企业事业单位的名称、公文、公务印章和公务用名片的用字；
(二)幼儿园、学校及其他教育机构的教育教学用字；
(三)各类广告、告示、标志牌、指示牌、名称牌、标语牌、招牌、会标的用字；
(四)报纸、期刊、图书、音像制品等印刷、电子出版物的用字；
(五)影视屏幕和网站用字；
(六)在境内销售的商品的包装、说明用字；
(七)地名、公共设施的名称用字；
(八)公共服务行业的服务用字。
前款第（三）、（七）项规定的用字，需要使用外国文字标注的，其地名、专名和通名部分应当使用汉语拼音拼写。
第十二条本省行政区域内确需使用方言或者保留、使用繁体字和异体字的，应当符合《中华人民共和国国家通用语言文字法》的有关规定。
招牌中含有手书繁体字、异体字的，应当在明显位置配放规范汉字的招牌。
第十三条汉语文出版物、国家机关公文应当符合国家关于普通话、规范汉字、汉语拼音、标点符号、数字用法的规范和标准。
第十四条使用标点符号和汉语拼音，应当符合国家《标点符号用法》、《汉语拼音方案》和《汉语拼音正词法基本规则》的规定。
第十五条国家机关工作人员、教师、高等学校和中等职业学校的学生、编辑、记者、中文字幕制作人员、校对人员及誊印、印章、牌匾、广告制作业文案工作人员的汉字应用水平，应当达到国家规定的等级标准。
第十六条县级以上人民政府语言文字工作主管部门负责国家通用语言文字培训测试工作的组织协调和指导监督。
省人民政府语言文字工作主管部门负责核发普通话水平等级证书和汉字应用水平等级证书。
语言文字培训测试机构具体负责组织实施国家通用语言文字的培训测试工作，有关单位应当予以配合。
第三章管理和监督
第十七条县级以上人民政府语言文字工作主管部门应当开展城市语言文字评估工作，重点评估国家机关、学校、大众传媒、主要公共服务行业运用国家通用语言文字的基本状况。评估结果以适当方式公布。
第十八条县级以上人民政府语言文字工作主管部门应当建立监测工作网络，对各类媒体、公共场所用语用字进行监测，监测结果应当向社会公布。
第十九条公民对不按照国家通用语言文字的规范和标准使用语言文字的，可以提出批评和建议，并有权向语言文字工作主管部门或者其他有关部门举报，接到举报的部门应当进行调查处理，并及时予以答复。
第二十条县级以上人民政府语言文字工作主管部门可以聘请语言文字工作监督员。语言文字工作监督员协助语言文字工作主管部门对国家通用语言文字的使用进行监督。
语言文字工作监督员对不按照国家通用语言文字的规范和标准使用语言文字的行为，可以提出批评或者向有关部门提出处理建议。
第四章法律责任
第二十一条语言文字工作主管部门和其他有关行政管理部门及其工作人员不依法履行语言文字工作职责、滥用职权、徇私舞弊的，对负有责任的主管人员和其他直接责任人员依法给予行政处分。
第二十二条国家通用语言文字测试工作人员违反测试规定的，由语言文字工作主管部门进行批评教育；弄虚作假或者索取、收受他人财物的，由其所在单位给予行政处分。
接受国家通用语言文字测试的人员违反测试规定，弄虚作假的，由语言文字工作主管部门取消其测试成绩；扰乱测试工作秩序的，由其所在单位给予行政处分。
第二十三条违反本办法第九条、第十条规定的，由语言文字工作主管部门或者有关单位对直接责任人员进行批评教育；拒不改正的，由有关单位作出处理。
第二十四条违反本办法第十一条规定的，由语言文字工作主管部门或者有关行政管理部门责令限期改正；逾期不改正的，予以警告。
第二十五条违反本办法规定，干涉他人学习和使用国家通用语言文字的，由有关行政管理部门责令限期改正，并予以警告。
第五章附则
第二十六条本办法自2008年1月1日起施行。《河北省汉语言文字应用管理条例》同时废止。
",语言文字,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808832328/2009/06/12/1533892196764.html,
