标题,时间,内容,一级类别,来源网站,访问地址,附件链接
河北省教育厅关于做好2024年普通高等学校专升本考试招生工作的通知,2023年12月01日,,高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2023/12/01/1706257022326.html,
中共河北省委教育工委关于学习宣传贯彻党的二十大精神充分发挥党建引领保障...,2022年11月17日,"各市（含定州、辛集市）党委教育工委，雄安新区公共服务局，各高校党委，省属中等职业学校党委（党总支、党支部）：
学习宣传贯彻党的二十大精神是当前和今后一个时期全省教育系统的首要政治任务。全省教育系统各级党组织和广大党员干部要以党的二十大精神为指引，全面贯彻党的教育方针，夯实党建基础，强化党建引领，推进党建与事业发展深度融合，为实现“人民满意、教育强省”目标奠定坚实组织基础。
一、学深悟透精神内涵，铸魂育人把牢方向
习近平总书记在党的二十大所作的报告，主题鲜明、思想深邃、求真务实，是党和人民智慧的结晶,是党团结带领全国各族人民夺取中国特色社会主义新胜利的政治宣言和行动纲领。各级各类学校党组织要全面学习、深入领悟、认真贯彻党的二十大精神，以时不我待的紧迫感和冲锋在前的奋斗姿态，全面加强党的领导，强化学校党组织政治功能和领导作用，牢牢把握社会主义办学方向，紧扣立德树人根本任务，努力培养德智体美劳全面发展的社会主义建设者和接班人，筑牢人才培养政治根基。要把各级党组织锻造成富有凝聚力、战斗力的坚强堡垒，把广大党员锤炼成推进事业发展的时代先锋，努力构建铸魂育人的红色坐标，引领保障教育事业实现新突破、取得新成效。
二、持之以恒固本强基，凝心聚力促进发展
各地各学校要通过组织开展“党建微课堂”“主题班会”“国旗下讲话”“党旗红·师生行”等活动以及知识竞赛、辅导报告等方式，将学习宣传党的二十大精神和新修订的《中国共产党章程》作为党员教育的必修内容，抓在经常、融入日常、做在平常，与基层党建工作同频共振、同步提升。要深入贯彻落实《中国共产党普通高等学校基层组织工作条例》和《关于建立中小学校党组织领导的校长负责制的意见（试行）》，持续优化党组织设置，大力弘扬“支部建在连上”的光荣传统，高标准落实“三会一课”、组织生活会等制度，切实提高党支部标准化规范化水平；充分发挥党组织政治功能，严格落实高校院（系）党组织会议和党政联席会议制度，及时修订中小学校党组织会议和校长办公会议议事规则，建立健全党组织统一领导、党政分工合作、协调运行的工作机制；抓好教师党支部书记“双带头人”建设，使教师党支部工作有抓手、经费有保障、活动有成效；抓好党员队伍建设，坚持把政治标准放在首位，加强党员教育管理和监督，保持党员队伍先进性和纯洁性。
三、点面结合示范引领，履职尽责争创一流
全省教育系统要在党的二十大精神指引下，进一步强化党建引领作用，教育引导广大党员干部忠诚捍卫“两个确立”，坚决做到“两个维护”，不忘初心、牢记使命，争当学习宣传贯彻党的二十大精神的“领头雁”“排头兵”，引领广大师生坚定信心，奋勇前进。要切实把党的组织优势转化为工作优势，为实现“人民满意、教育强省”的目标增砖添瓦、守正创新。持续开展学校党组织示范创建和质量创优工作，筑牢党建责任体系、管理体系和工作体系，推进党建与业务深度融合，以高质量党建引领推动教育事业高质量发展。紧紧围绕教育系统各级党组织的功能定位，结合事业发展的特点，深入挖掘、精心提炼党建工作先进典型、先进事迹，突出打造亮点特色，宣传弘扬正能量，提升社会各界对教育系统党建工作的认知度、辨识度，达到外塑形象、内聚人心的效果。
四、党建引领堡垒先锋，众志成城共阻疫情
全省教育系统各级党组织要深入学习贯彻习近平总书记关于“疫情要防住、经济要稳住、发展要安全”的重要指示精神，全面对标对表党中央进一步优化防控工作的二十条措施，高效统筹疫情防控与教育教学工作，始终牢记防疫初心，保持战略定力，科学精准做好防控工作，牢牢守住校园不出现规模性疫情的底线，保障正常的教育教学秩序。要充分发挥党组织领导核心作用和战斗堡垒作用，切实担负起疫情防控的政治责任，凝聚力量、众志成城，从严从紧、从细从实抓好疫情防控工作，全力守护广大师生生命安全和身体健康。要把抗疫斗争作为学习宣传贯彻党的二十大精神的生动实践，不断提升党组织的组织力、凝聚力和战斗力。党组织书记要切实履行疫情防控第一责任人职责，统筹谋划、靠前指挥；班子成员要守土担责、守土尽责，下沉基层一线加强督促指导；广大党员要充分发挥先锋模范作用，不畏艰险、无私奉献，做到哪里任务险重哪里就有党员干部当先锋、作表率，践行初心使命、勇于担当作为，让党旗始终在防疫一线高高飘扬。
五、不断发扬斗争精神，从严治党正风肃纪
党的二十大报告强调，全党同志务必不忘初心、牢记使命，务必谦虚谨慎、艰苦奋斗，务必敢于斗争、善于斗争。这充分彰显了我们党在新时代新征程管党治党的高度警醒和战略自觉。全省教育系统各级党组织要注重弘扬伟大建党精神，持续加强党员干部党性锻炼和品德修养，努力做到忠诚、干净、担当。要发扬斗争精神、提高斗争本领，全面提升政治判断力、政治领悟力和政治执行力。要严肃党内政治生活，严守政治纪律和政治规矩，以严的总基调强化正风肃纪，严格执行中央八项规定及其实施细则，持之以恒正风肃纪，驰而不息改进作风。要教育引导党员干部警钟长鸣、防微杜渐，切实做到知敬畏、存戒惧、守底线，持续营造干事创业、风清气正的良好政治生态。






中共河北省委教育工委
2022年11月17日




",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2022/11/17/1678333415929.html,
河北省教育厅关于公布2022 年河北省普通高校专科升本科教育考试招生计...,2022年02月25日,"

",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1410097726928/2022/02/28/1646038456161.html,
关于明确我省专接本学生学费标准的通知,2021年07月12日,"

",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2021/07/12/1634271075201.html,
河北省教育厅关于转发教育部办公厅《高等学校命名暂行办法》的通知,2020年09月10日,"
各市（含定州、辛集市）教育局、雄安新区公共服务局，省属各高等学校：
为规范高等学校命名工作，近日，教育部办公厅印发了《高等学校命名暂行办法》（教发厅〔2020〕6号）。现将《办法》转发给你们，请各地、各学校认真贯彻执行。



河北省教育厅
2020年9月7日

附件、教育部办公厅关于印发《高等学校命名暂行办法》的通知
",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2020/09/10/1599730192867.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20200910172031196.doc;
关于做好河北省2019年少数民族高层次骨干人才计划考生资格审查等有关工...,2018年10月10日,"
根据教育部办公厅《关于下达2019年少数民族高层次骨干人才研究生招生计划的通知》（教民厅〔2018〕2号）要求，现就做好河北省2019年少数民族高层次骨干人才计划考生资格审查等有关工作通知如下：
一、审查时间
资格审查时间从即日起至10月31日，接收申请资料时间截至10月25日。
二、生源范围
1.河北省民族自治地方（青龙满族自治县、丰宁满族自治县、宽城满族自治县、围场满族蒙古族自治县、孟村回族自治县、大厂回族自治县）。上述地区汉族考生应在国务院公布的民族自治地方工作3年以上，且报名时仍在民族自治地方工作。
2.内地西藏班、新疆班承担教学和管理任务的教职工，在西藏工作满5年以上的“非西藏生源定向西藏就业计划”毕业生。
三、审查资料
（一）应届考生
1.学校或学校教务部门开具的在校证明；
2.户口页或公安部门开具的户籍证明（原件和复印件）；
3.身份证（原件和复印件）；
4.考生登记表一式3份。
（二）其他考生
1.本科毕业证、学位证（原件和复印件）；
2.户口页或公安部门开具的户籍证明（原件和复印件）；
3.身份证（原件和复印件）；
4.考生登记表一式3份（在职考生需签署工作单位意见）。
四、审查流程
1.材料审查：根据考生提交的材料进行报考资格审核，审查合格后予以公示。考生需在审查时限内将相关资料报送至省教育厅高教处。
2.公示：审查结束后，考生名单及相关个人基本信息将在省教育厅高教处网页上进行公示，公示时间不少于5个工作日。
3.签署意见：公示结束后，如无任何疑义，考生本人携带相关材料的原件到省教育厅高教处（石家庄市中山西路449号1220室）签署意见。委托他人代理的，还需提交委托书和代理人身份证复印件。
4.领取验证码：省教育厅高教处签署意见后，到省教育考试院领取验证码。
五、报名
网上报名时注意在“专项计划”栏目中选“少数民族骨干计划”并输入校验码，报考类别应填为“定向”，定向单位栏在职考生填原工作单位，非在职考生填“河北省教育厅”。
六、签署定向协议书
考生接到录取通知后，需签订“少数民族高层次骨干人才”定向协议书，协议书一式四份（在职考生为一式五份），招生单位必须先行盖章，本人签字（在职考生所在单位盖章）后到省教育厅高教处办理。
七、联系方式
联系电话：0311-66005126、66005120（兼传真）；电子邮箱：gjc66005126@163.com。


河北省教育厅高等教育处
2017年10月10日
",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2018/10/10/1539139785703.html,
防范虚假招生 维护个人权益 省教育考试院提醒考生注意,2018年08月02日,"
近年来，各类虚假招生宣传和欺诈行为屡禁不止，导致学生的经济利益和受教育权益遭到损害。为此，省教育考试院梳理了虚假大学招生欺诈的特点与典型案例，并提供了识别防范招生欺诈的方法和注意事项，请广大考生和家长仔细阅读，高度警惕，严加防范，维护好个人权益。
一、虚假大学招生欺诈的特点
虚假大学俗称“野鸡大学”，是指未经教育部和地方教育部门审批，无办学资质而私自招生办学的学校，其虚假宣传和招生欺诈的基本特点和方式如下：
1.虚设网站“有名无实”。虚假大学多自建网站行骗，往往只有空壳网站而无实体学校，“打着大学的幌子”从事伪造学历文凭证书之类的招生诈骗。其网站往往抄袭正规高校往年简介并盗用其图片和文字、粘贴各种教育类新闻信息，极具欺骗性。虚假大学的名称常使用一些看似“高大上”的字样，如“中国”、“北京”、“首都”、“华北”、“华东”等，还常常含有“财经”、“管理”、“经济”等热门专业词汇，很多虚假大学的名字与正规大学高度相似，很容易被混淆。
2.分布区域集中，倾向异地招生。虚假大学在全国各省市都有分布，特别是在北上广等一线城市、沿海发达城市等高校密集的区域分
布比较集中。这些学校倾向于异地招生，利用外地考生和家长难以识别和求证，来欺骗一些外地特别是二三线城市高考分数较低的考生。
3.违规操作，私自招生。一些私人培训机构借与正规大学谈合作的机会，在未获得招生许可权的情况下，以正规大学的名义私下招生。还有一些民办非学历高等教育机构，通过与企业合办的培训机构在外地私自招生，欺骗一些低分考生缴纳高额学费上学。此外，一些具有招生资质的民办高校，为招揽生源，发布虚假招生宣传信息、委托中介招生或以招收“预科班”、“签订预录取协议”等方式违规招收学历教育学生。通过上述途径入学的考生，国家将一律不予注册电子学籍和学历信息。
虚假大学在利用自建网站等进行虚假宣传的同时，还常通过混淆教育形式、谎称有“内部指标”、可以“低分高录”或利用自主招生、定向招生之名实施诈骗，要求支付高额费用；或以“录取时间紧急”为由，骗心急家长先支付定金，再邮寄伪造的“录取通知书”，让考生和家长在其自建网站上验证录取通知书信息，并结清尾款；或通过非法手段获取考生信息，将考生原本正常投档和录取说成是花钱打通关系，以此来索要钱财。考生和家长要特别警惕，避免上当受骗。
二、如何识别和防范招生欺诈行为
1.掌握高校招生基本常识。考生和家长须了解以下常识：一是普通高校招生是区别于网络教育、成人教育、自学考试等的一种全日制普通高等学历教育形式。二是普通高校招生录取新生是按照国家政策、院校招生章程、考生的分数和志愿，在全国统一编制的网上录取系统中进行的，并且经过省招生委员会办公室（省教育考试院）审核报教育部备案。未经省教育考试院办理录取手续的考生，国家将一律不予注册电子学历。三是省招生委员会未授权任何单位或个人从事招生中介服务。四是高校招生不会向考生收取与录取挂钩的任何费用。五是不存在公布的招生计划以外的所谓“内部指标”。
2.认真辨识网站域名和内容。经教育部批准的高等院校官方网站，域名后缀一般为“.edu.cn”，而虚假大学的网站域名多不规范，常用工商金融企业的“.com”等其他后缀，或在“.com”前加入“-edu”或“edu”以蒙骗考生和家长。其网站内容错漏百出，“公告”、“新闻”等内容常年不更新，且大多是与学校无任何关系的垃圾信息。此外，考生和家长一般都无法通过网站公布的联系方式联系上或找到学校。
3.仔细审核高校招生资格。教育部官方网站、教育部阳光高考信息平台（https://gaokao.chsi.com.cn/）每年都会公布具备招生资格的全日制普通高等学历教育招生院校（包括民办高校）名单，考生和家长可通过登录上述网站进行查询核对，如果学校不在名单里则极有可能是虚假大学。考生和家长也可以到各级教育招生考试机构、所在市、县（市、区）咨询服务站核实高校招生资格。
4.正确选择和填报高校志愿。考生填报志愿时，应从《2018年河北省普通高校招生计划》中所列的高校和专业中进行选择，填报志愿前要仔细阅读我省编印的《2018年河北省普通高校招生报考指南》、《2018年河北省普通高等学校招生艺术类报考指南》、《2018年河北省普通高校招生章程》和省教育考试院门户网站发布的《2018年河北省普通高考志愿填报须知》等相关内容，并认真查阅高校招生网站，充分了解我省录取政策和规则、院校和专业信息等，正确填报志愿。
5.通过正规渠道查询录取信息。考生应通过以下几种正规途径查询考试成绩和录取结果：一是登录河北省教育考试院门户网站和河北省招生考试信息服务网查询；二是到各市、县（市、区）教育招生考试机构或咨询服务站查询；三是从省教育考试院门户网站下载安装“掌上考试院”手机APP或注册登录河北省教育考试院微信公众号（hbsksy）查询高考成绩和录取结果。
6.查验录取通知书真伪。考生收到录取通知书后，可通过以下方法确认录取通知书真伪：一是将录取通知书上的信息（包括院校、专业、层次等）与通过正规渠道查询到的录取信息进行比对，或与省教育考试院、考生所在市、县（市、区）教育招生考试机构核对，看两者是否一致；二是查验录取通知书寄出方是否为经教育部公布、具有普通高等学校学历教育资格且当年在河北省招生的高校；三是查验录取通知书签发人是否为高校法人代表。四是确认是否有《录取信息确认表》，只有同时收到被录取院校寄发的《录取信息确认表》和录取通知书的，才是被正式录取的学生。
7.妥善保管个人信息。考生、家长要增强防范意识，妥善保管好报名、志愿、录取以及个人联系方式等重要信息，决不能透露给他人，且不能由他人代为填报高考志愿，防止联络方式、报考信息等泄露，被不法分子盗用和非法操控。
三、部分典型案例
1.虚设网站“有名无实”。例如“中国邮电大学”、“中国师范大学”、“北京对外贸易学院”、“北京财经政法大学”、“北京理工科技大学”等虚假大学的名称与“北京邮电大学”、“北京师范大学”、“对外经贸大学”、“中央财经大学”、“北京理工大学”等正规高校名称高度相似。
2.分布区域集中，倾向异地招生。例如在今年4月被曝光的“山东交通学院军地共建学院”虚假招生事件中，约50名考生被骗“录取”并缴纳高额学费，这些考生很多是外地考生，高考都只考了两三百分，有的高中还没毕业，就被招生骗子以各种方式骗来。到校后才发现，学校只是临时借用山东交通学院的场地，师资都没配齐，老师都是临时外聘代课。
3.违规操作，私自招生。例如北京民族大学作为民办非学历高等教育机构，本不能以“高等院校”名义招生，但却通过其与某企业合办的“北京民族工艺学院”在外地私自招生。招生人员宣称该学院是“全日制二本”，湖南一名高三学生还没参加高考就收到了该学院“初审通过”的短信。
",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2018/08/02/1533871379190.html,
2018年度河北省空军青少年航空学校拟录取名单公示,2018年07月19日,"
按照冀教基〔2017〕15号文件明确的招生办法，依据考生“可比系数”和招生定选结果，经空军招飞局、河北省教育厅审核，拟录取马帅旗等100名考生为河北省空军青少年航空学校学生。
现将拟录取名单予以公示，公示期为一周，联系电话：010-51381710。


",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2018/07/20/1533871379002.html,
关于2018年度普通高等学校本科专业申报工作的通知,2018年06月28日,"
各本科高等院校：
　　根据教育部高等教育司《关于开展2018年度普通高等学校本科专业设置工作的通知》（教高司函〔2018〕26号）文件要求，为做好我省2018年度普通高等学校本科专业申报工作，现将有关事项通知如下：
　　一、申报范围为普通高等学校新设置本科专业、第二学士学位专业，调整专业学位授予门类和修业年限，撤销专业等。
　　二、各校要主动对接“京津冀协同发展”“大众创业、万众创新”“一带一路”“雄安新区建设”“冬奥会”“健康中国”等重大战略要求，紧密围绕我省产业结构调整和转型升级需要，积极发展高新技术产业、战略性新兴产业、现代农业、现代服务业、工业设计、冰雪运动、全科医生等急需的专业，调控陈旧过时、就业率低、布点过多、生源差的专业，进一步优化学科专业结构和布局，加强专业建设与管理，提高人才培养质量，推进我省高校学科专业健康发展。
　　三、各校应严格按照《普通高等学校本科专业类教学质量国家标准》设置新增专业，新增专业要与学校办学定位和目标发展方向相一致，凡新增专业设置条件不成熟或与学校办学定位不一致的，不得申报。高校新增专业数，应遵循高等教育基本规律，科学设置，避免重复设置和盲目扩张。
　　四、各校要按照教育部文件要求的时间和程序，指定专门人员登录普通高等学校本科专业申报与信息服务平台（以下简称平台），认真做好2018年度申报专业的校内审议和公示、网络申报与平台公示、确认、材料报送等各项工作。7月31日前学校完成校内审议和公示、申报材料平台填报和上传等工作。学校上传的材料包含学校负责人签字并加盖学校公章的专业申报材料扫描件和校内专家组织审议意见。同时填报本校2017年停招专业名单和2018年拟停招专业名单。教育部将于8月1日—31日通过平台向社会公示高校申报的专业材料。高校可根据公示期间的意见，决定撤销申报或继续申报。
　　五、教育部平台公示期满后，各校请于9月7日前将专业申报公文（含新设置本科专业、第二学士学位专业，调整专业学位授予门类和修业年限，撤销专业等情况）、校内公示截图（盖学校公章）、《普通高等学校本科专业设置申请表》（一式两份，负责人签字并加盖学校公章，医学类、公安类专业附相关部门意见）、《普通高等学校本科专业设置申请汇总表》（分别汇总备案、审批专业）、《河北省高校2017年撤销停招专业和2018年拟撤销停招专业名单》报送至省教育厅高教处。省教育厅将对专业申报材料进行形式审核，并汇总上报教育部。
　　六、各校要高度重视此项工作，确保申报专业提交材料准确无误。请于7月8日前将申报本科专业联系人、办公电话及手机号等信息发送至gjc66005126@163.com。
　　七、联系方式：石家庄市中山西路449号高等教育处，联系电话：0311-66005126。


附件1.教育部高等教育司关于开展2018年度普通高等学校本科专业设置工作的通知
附件2.河北省2017年就业率较低的本科专业和经济社会发展急需专业名单
附件3.河北省高校本科专业布点情况参照表
附件4.河北省高校2017年撤销停招专业和2018年拟撤销停招专业名单

",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2018/06/28/1533892760044.html,http://jyt.hebei.gov.cnmailto:gjc66005126@163.com;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/2018062818015162.pdf;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20180703100627186.doc;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20180701084331878.pdf;http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20180628180100156.docx;
关于深入学习贯彻新时代全国高等学校本科教育工作会议精神的通知,2018年06月28日,"
冀教高函〔2018〕36号

河北省教育厅
关于深入学习贯彻新时代全国高等学校
本科教育工作会议精神的通知

各普通本科院校：
2018年6月21日，教育部在成都召开新时代全国高等学校本科教育工作会议。会议强调，要深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，全面贯彻落实习近平总书记5月2日在北京大学师生座谈会上重要讲话精神，坚持“以本为本”，推进“四个回归”，加快建设高水平本科教育、全面提高人才培养能力，造就堪当民族复兴大任的时代新人。现就学习贯彻新时代全国本科教育工作会议精神通知如下：
一、充分认识本科教育的重要地位和作用。高教大计、本科为本，本科不牢、地动山摇。人才培养是大学的本质职能，本科教育是大学的根和本，在高等教育中是具有战略地位的教育、是纲举目张的教育。高等教育战线要树立“不抓本科教育的高校不是合格的高校”、“不重视本科教育的校长不是合格的校长”、“不参与本科教育的教授不是合格的教授”的理念，坚持“以本为本”，把本科教育放在人才培养的核心地位、教育教学的基础地位、新时代教育发展的前沿地位。高校领导注意力要首先在本科聚焦，教师精力要首先在本科集中，学校资源要首先在本科配置，教学条件要首先在本科使用，教学方法和激励机制要首先在本科创新，核心竞争力和教学质量要首先在本科显现，发展战略和办学理念要首先在本科实践，核心价值体系要首先在本科确立。
二、推进“四个回归”，把人才培养的质量和效果作为检验一切工作的根本标准。一是回归常识。要围绕学生刻苦读书来办教育，引导学生求真学问、练真本领。对大学生要合理“增负”，提升大学生的学业挑战度，激发学生的学习动力和专业志趣，改变轻轻松松就能毕业的情况，真正把内涵建设、质量提升体现在每一个学生的学习成果上。二是回归本分。要引导教师热爱教学、倾心教学、研究教学，潜心教书育人。坚持以师德师风作为教师素质评价的第一标准，在教师专业技术职务晋升中实行本科教学工作考评一票否决制。三是回归初心。要坚持正确政治方向，促进专业知识教育与思想政治教育相结合，用知识体系教、价值体系育、创新体系做，倾心培养建设者和接班人。四是回归梦想。要推动办学理念创新、组织创新、管理创新和制度创新，倾力实现教育报国、教育强国梦。
三、推动重点领域、关键环节改革不断取得突破。一是内涵发展更深一些。要着力提升专业建设水平，推进课程内容更新，推动课堂革命，建好质量文化。二是领跑发展更快一些。要加强新工科建设，加强医学教育、农林教育、文科教育创新发展，持续深化创新创业教育，努力建设一批新时代中国特色社会主义标杆大学。三是公平发展更实一些。要补齐区域发展短板，充分发挥高等教育集群发展的“集聚-溢出效应”，引领带动高等教育集群整体发展。四是变轨超车更坚定一些。要推动优质资源开放共享，重塑教育教学形态，紧紧抓住信息技术变革带来的历史性机遇，推动实现高等教育质量的“变轨超车”。五是创新发展更紧迫一些。要不断推动高等教育的思想创新、理念创新、方法技术创新和模式创新，更加自信地在世界舞台、国际坐标和全球格局中去谋划发展，参与竞争和治理，创建中国理念、中国标准、中国方法和中国模式，建设世界高等教育新高地。
各校要高度重视，认真组织学习领会本次会议精神，以习近平新时代中国特色社会主义思想为指导，深入贯彻落实党的十九大精神，结合学校实际，以“四个回归”为着力点，深化教育教学改革，扎实做好各项工作，加快建设高水平本科教育，全面提升人才培养能力，为造就堪当民族复兴大任的时代新人而不懈努力。
各校贯彻落实情况请及时反馈省教育厅高教处。


河北省教育厅
2018年6月27日
",高等教育,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533807656246/2018/06/28/1533892760420.html,
